        n    z      alpha(keV)
4974  100   80       6258.5 23
4975  100   80       6258.5 23
4976  101   80          6284 4
4977  101   80          6284 4
4978  101   80          6284 4
4979  101   80          6284 4
4980  102   80          5996 5
4981  102   80          5996 5
4982  125   80       -9.7E+2 5
4983  125   80       -9.7E+2 5
4984  126   80       -6.8E+2 3
4985  127   80       6.0E+2 20
4986  128   80      1.93E+3 20
4987  129   80        1.8E+3 3
4988  130   80        1.5E+3 4
4989  130   80        1.5E+3 4
4990  130   80        1.5E+3 4
4991  131   80        1.3E+3 4
4992  131   80        1.3E+3 4
4993  132   80        1.1E+3 5
4994  132   80        1.1E+3 5
4995  133   80            0 0
4996  133   80            0 0
4997  134   80            0 0
4998  134   80            0 0
4999  135   80            0 0
5000  135   80            0 0
5001  136   80            0 0
5002  136   80            0 0
5003  111   81       4.07E+3 3
5004  111   81       4.07E+3 3
5005  112   81         3680 21
5006  112   81         3680 21
5007  112   81         3680 21
5008  110   81         4321 24
5009  110   81         2201 18
5010  108   81          4817 9
5011  108   81          4817 9
5012  108   81          4817 9
5013  109   81         4924 22
5014  109   81         4924 22
5015  109   81         4924 22
5016  106   81          5322 7
5017  106   81          5322 7
5018  106   81          5322 7
5019  106   81          5322 7
5020  106   81          5322 7
5021  107   81       5.56E+3 4
5022  107   81       5.56E+3 4
5023  107   81       5.56E+3 4
5024  107   81       5.56E+3 4
5025  104   81          5688 5
5026  104   81          5688 5
5027  104   81          5688 5
5028  105   81       6.00E+3 3
5029  105   81       6.00E+3 3
5030  105   81       6.00E+3 3
5031  102   81          5976 9
5032  102   81          5976 9
5033  102   81          5976 9
5034  102   81          5976 9
5035  102   81          5976 9
5036  102   81          5976 9
5037  103   81          6317 9
5038  103   81          6317 9
5039  122   81       5705.0 11
5040  123   81        4.7E+2 3
5041  123   81        4.7E+2 3
5042  120   81         1534 14
5043  120   81         1534 14
5044  121   81       1175.5 19
5045  119   81          1667 6
5046  119   81          1667 6
5047  117   81          2258 8
5048  117   81          2258 8
5049  117   81          2258 8
5050  117   81          2258 8
5051  118   81       2.08E+3 3
5052  118   81       2.08E+3 3
5053  115   81         2851 20
5054  115   81         2851 20
5055  115   81         2851 20
5056  116   81         2626 16
5057  116   81         2626 16
5058  113   81         3471 14
5059  113   81         3471 14
5060  113   81         3471 14
5061  114   81         3218 12
5062  114   81         3218 12
5063  100   81          6322 4
5064  100   81          6322 4
5065  100   81          6322 4
5066  100   81          6322 4
5067  101   81          6551 6
5068  101   81          6551 6
5069  133   81        1.4E+3 4
5070  133   81        1.4E+3 4
5071  134   81            0 0
5072  134   81            0 0
5073  131   81        1.9E+3 4
5074  132   81        1.6E+3 4
5075  130   81        2.1E+3 3
5076  130   81        2.1E+3 3
5077  128   81      2.50E+3 20
5078  129   81        2.5E+3 3
5079  129   81        2.5E+3 3
5080  126   81          -316 6
5081  126   81          -316 6
5082  127   81      1.22E+3 20
5083  124   81       6419.6 13
5084  125   81         -325 23
5085  125   81         -325 23
5086  137   81            0 0
5087  135   81            0 0
5088  135   81            0 0
5089  136   81            0 0
5090  136   81            0 0
5091   95   81      7.48E+3 10
5092   96   81          7067 7
5093   96   81          7067 7
5094   97   81         7020 10
5095   97   81         7020 10
5096   98   81          6709 3
5097   98   81          6709 3
5098   98   81          6709 3
5099   98   81          6709 3
5100   98   81          6709 3
5101   98   81          6709 3
5102   98   81          6709 3
5103   99   81       6.71E+3 6
5104   99   81       6.71E+3 6
5105   99   81       6.71E+3 6
5106   96   82         7789 13
5107   97   82          7596 5
5108   98   82          7419 5
5109   99   82          7240 7
5110   99   82          7240 7
5111  116   82          3692 9
5112  117   82         3357 24
5113  117   82         3357 24
5114  117   82         3357 24
5115  118   82         3150 10
5116  119   82         2844 14
5117  119   82         2844 14
5118  112   82         4738 17
5119  112   82         4738 17
5120  113   82         4429 23
5121  113   82         4429 23
5122  114   82         4238 17
5123  114   82         4238 17
5124  115   82         3892 16
5125  115   82         3892 16
5126  115   82         3892 16
5127  120   82          2589 4
5128  120   82          2589 4
5129  120   82          2589 4
5130  121   82          2335 7
5131  121   82          2335 7
5132  121   82          2335 7
5133  122   82       1968.5 11
5134  122   82       1968.5 11
5135  105   82          6393 6
5136  105   82          6393 6
5137  105   82          6393 6
5138  105   82          6393 6
5139  106   82          6109 3
5140  106   82          6109 3
5141  107   82          5915 4
5142  107   82          5915 4
5143  107   82          5915 4
5144  107   82          5915 4
5145  108   82          5698 5
5146  108   82          5698 5
5147  101   82          6928 7
5148  101   82          6928 7
5149  102   82          6774 3
5150  102   82          6774 3
5151  103   82          6695 5
5152  103   82          6695 5
5153  103   82          6695 5
5154  103   82          6695 5
5155  104   82          6471 5
5156  104   82          6471 5
5157  109   82         5402 14
5158  109   82         5402 14
5159  109   82         5402 14
5160  109   82         5402 14
5161  110   82          5222 5
5162  110   82          5222 5
5163  111   82       4.97E+3 3
5164  111   82       4.97E+3 3
5165  100   82          7066 6
5166  100   82          7066 6
5167  138   82         8.E+2 6
5168  134   82        2.1E+3 4
5169  135   82        1.6E+3 4
5170  136   82        1.4E+3 5
5171  137   82        1.1E+3 6
5172  127   82          2248 4
5173  128   82         3792 20
5174  128   82         3792 20
5175  129   82       3.57E+3 3
5176  123   82       1467.5 11
5177  123   82       1467.5 11
5178  124   82        7253.7 5
5179  125   82        7487.6 6
5180  125   82        392.3 13
5181  126   82          8003 5
5182  130   82       3.29E+3 3
5183  131   82      2.98E+3 15
5184  132   82      2.69E+3 20
5185  133   82      2.31E+3 21
5186  120   83       4.11E+3 3
5187  120   83       4.11E+3 3
5188  121   83         3976 11
5189  121   83         3976 11
5190  121   83         3976 11
5191  113   83       5.44E+3 4
5192  113   83       5.44E+3 4
5193  113   83       5.44E+3 4
5194  113   83       5.44E+3 4
5195  113   83       5.44E+3 4
5196  113   83       5.44E+3 4
5197  113   83       5.44E+3 4
5198  114   83         5365 11
5199  114   83         5365 11
5200  114   83         5365 11
5201  114   83         5365 11
5202  114   83         5365 11
5203  111   83          5918 5
5204  111   83          5918 5
5205  111   83          5918 5
5206  111   83          5918 5
5207  111   83          5918 5
5208  112   83          5832 5
5209  112   83          5832 5
5210  112   83          5832 5
5211  112   83          5832 5
5212  117   83       4.70E+3 3
5213  117   83       4.70E+3 3
5214  117   83       4.70E+3 3
5215  118   83          4500 6
5216  118   83          4500 6
5217  118   83          4500 6
5218  118   83          4500 6
5219  115   83       5.14E+3 3
5220  115   83       5.14E+3 3
5221  115   83       5.14E+3 3
5222  116   83          4933 7
5223  116   83          4933 7
5224  116   83          4933 7
5225  116   83          4933 7
5226  119   83         4353 16
5227  110   83          6307 5
5228  110   83          6307 5
5229  110   83          6307 5
5230  110   83          6307 5
5231  102   83       8.14E+3 8
5232  102   83       8.14E+3 8
5233  103   83         7757 12
5234  103   83         7757 12
5235  101   83      8.22E+3 10
5236  101   83      8.22E+3 10
5237  106   83          7268 3
5238  106   83          7268 3
5239  106   83          7268 3
5240  106   83          7268 3
5241  107   83          6862 3
5242  107   83          6862 3
5243  107   83          6862 3
5244  107   83          6862 3
5245  104   83          7779 4
5246  104   83          7779 4
5247  105   83          7264 5
5248  105   83          7264 5
5249  105   83          7264 5
5250  105   83          7264 5
5251  108   83          6780 3
5252  108   83          6780 3
5253  108   83          6780 3
5254  108   83          6780 3
5255  108   83          6780 3
5256  109   83          6377 4
5257  109   83          6377 4
5258  109   83          6377 4
5259  109   83          6377 4
5260  140   83            0 0
5261  140   83            0 0
5262  141   83            0 0
5263  141   83            0 0
5264  135   83      4.33E+3 20
5265  136   83        3.9E+3 4
5266  133   83      5.00E+3 20
5267  133   83      5.00E+3 20
5268  134   83       4.52E+3 3
5269  139   83        2.8E+3 5
5270  137   83        3.7E+3 4
5271  138   83        3.1E+3 5
5272  138   83        3.1E+3 5
5273  131   83          5621 3
5274  131   83          5621 3
5275  132   83       5.28E+3 4
5276  132   83       5.28E+3 4
5277  132   83       5.28E+3 4
5278  130   83          5988 3
5279  130   83          5988 3
5280  124   83       3281.8 21
5281  125   83       3051.0 20
5282  125   83       3051.0 20
5283  122   83         3690 15
5284  123   83          3527 8
5285  123   83          3527 8
5286  128   83        6750.4 5
5287  128   83        6750.4 5
5288  129   83       6207.26 3
5289  129   83       6207.26 3
5290  129   83       6207.26 3
5291  129   83       6207.26 3
5292  129   83       6207.26 3
5293  129   83       6207.26 3
5294  126   83        3137.3 8
5295  127   83        5036.5 8
5296  127   83        5036.5 8
5297  127   83        5036.5 8
5298  121   84         5325 10
5299  121   84         5325 10
5300  121   84         5325 10
5301  121   84         5325 10
5302  122   84       5327.0 13
5303  122   84       5327.0 13
5304  123   84          5216 3
5305  123   84          5216 3
5306  123   84          5216 3
5307  124   84       5215.7 13
5308  124   84       5215.7 13
5309  125   84       4979.2 14
5310  125   84       4979.2 14
5311  126   84       5407.53 7
5312  127   84        7594.6 5
5313  127   84        7594.6 5
5314  127   84        7594.6 5
5315  128   84      8954.19 11
5316  128   84      8954.19 11
5317  128   84      8954.19 11
5318  129   84          8536 3
5319  130   84       7833.54 6
5320  131   84        7526.3 8
5321  131   84        7526.3 8
5322  132   84        6906.3 5
5323  133   84       6662.1 24
5324  134   84       6114.75 9
5325  134   84       6114.75 9
5326  135   84       5.91E+3 5
5327  135   84       5.91E+3 5
5328  136   84      5.33E+3 20
5329  137   84        5.1E+3 3
5330  138   84        4.4E+3 3
5331  139   84        4.0E+3 4
5332  140   84        3.4E+3 4
5333  141   84            0 0
5334  142   84            0 0
5335  143   84            0 0
5336  102   84         8501 14
5337  103   84         7979 15
5338  104   84         8082 15
5339  104   84         8082 15
5340  105   84         7694 15
5341  106   84          7693 7
5342  107   84          7493 5
5343  107   84          7493 5
5344  108   84          7320 3
5345  108   84          7320 3
5346  109   84          7094 4
5347  109   84          7094 4
5348  110   84          6987 3
5349  110   84          6987 3
5350  111   84          6750 3
5351  111   84          6750 3
5352  111   84          6750 3
5353  111   84          6750 3
5354  111   84          6750 3
5355  112   84       6658.2 24
5356  112   84       6658.2 24
5357  113   84          6411 3
5358  113   84          6411 3
5359  113   84          6411 3
5360  113   84          6411 3
5361  113   84          6411 3
5362  114   84       6309.7 14
5363  114   84       6309.7 14
5364  115   84       6074.3 19
5365  115   84       6074.3 19
5366  115   84       6074.3 19
5367  115   84       6074.3 19
5368  115   84       6074.3 19
5369  116   84       5981.6 18
5370  116   84       5981.6 18
5371  117   84       5799.3 17
5372  117   84       5799.3 17
5373  117   84       5799.3 17
5374  117   84       5799.3 17
5375  117   84       5799.3 17
5376  118   84       5701.0 17
5377  118   84       5701.0 17
5378  119   84          5496 5
5379  119   84          5496 5
5380  119   84          5496 5
5381  119   84          5496 5
5382  120   84       5484.9 14
5383  120   84       5484.9 14
5384  108   85          7572 7
5385  108   85          7572 7
5386  108   85          7572 7
5387  108   85          7572 7
5388  109   85         7454 11
5389  109   85         7454 11
5390  106   85         7822 14
5391  106   85         7822 14
5392  107   85       7.70E+3 3
5393  107   85       7.70E+3 3
5394  119   85       6070.4 12
5395  119   85       6070.4 12
5396  119   85       6070.4 12
5397  117   85       6353.8 13
5398  117   85       6353.8 13
5399  117   85       6353.8 13
5400  117   85       6353.8 13
5401  117   85       6353.8 13
5402  117   85       6353.8 13
5403  118   85        6210.1 8
5404  118   85        6210.1 8
5405  115   85       6596.2 13
5406  115   85       6596.2 13
5407  115   85       6596.2 13
5408  115   85       6596.2 13
5409  115   85       6596.2 13
5410  115   85       6596.2 13
5411  115   85       6596.2 13
5412  116   85       6472.8 16
5413  116   85       6472.8 16
5414  113   85       6889.4 19
5415  113   85       6889.4 19
5416  113   85       6889.4 19
5417  113   85       6889.4 19
5418  114   85       6777.3 12
5419  114   85       6777.3 12
5420  114   85       6777.3 12
5421  111   85          7196 3
5422  111   85          7196 3
5423  112   85          7104 3
5424  112   85          7104 3
5425  112   85          7104 3
5426  112   85          7104 3
5427  112   85          7104 3
5428  110   85          7344 6
5429  110   85          7344 6
5430  128   85          9254 5
5431  129   85          8988 4
5432  126   85       5982.4 13
5433  126   85       5982.4 13
5434  126   85       5982.4 13
5435  127   85        7817.1 6
5436  127   85        7817.1 6
5437  127   85        7817.1 6
5438  127   85        7817.1 6
5439  127   85        7817.1 6
5440  124   85       5756.9 20
5441  124   85       5756.9 20
5442  125   85       5631.2 10
5443  125   85       5631.2 10
5444  122   85          5872 3
5445  122   85          5872 3
5446  123   85       5751.1 22
5447  123   85       5751.1 22
5448  120   85       6019.6 17
5449  120   85       6019.6 17
5450  121   85          5887 5
5451  121   85          5887 5
5452  130   85          8178 4
5453  139   85        4.3E+3 3
5454  137   85       5.31E+3 3
5455  138   85      4.68E+3 20
5456  135   85         6077 18
5457  135   85         6077 18
5458  136   85         5628 23
5459  133   85          6876 3
5460  133   85          6876 3
5461  134   85          6342 5
5462  134   85          6342 5
5463  131   85          7950 3
5464  131   85          7950 3
5465  131   85          7950 3
5466  132   85       7201.4 12
5467  132   85       7201.4 12
5468  140   85        3.7E+3 4
5469  141   85        3.3E+3 4
5470  144   85            0 0
5471  144   85            0 0
5472  142   85        2.8E+3 5
5473  142   85        2.8E+3 5
5474  143   85        2.4E+3 6
5475  128   86          9208 9
5476  127   86          8245 3
5477  129   86          8839 6
5478  124   86       6159.0 22
5479  124   86       6159.0 22
5480  123   86       6155.4 20
5481  123   86       6155.4 20
5482  126   86          6385 3
5483  125   86       5965.5 14
5484  125   86       5965.5 14
5485  120   86       6383.7 16
5486  120   86       6383.7 16
5487  122   86       6260.7 17
5488  122   86       6260.7 17
5489  121   86       6251.2 16
5490  121   86       6251.2 16
5491  140   86       3.84E+3 4
5492  139   86         4335 23
5493  138   86         4757 20
5494  135   86          6163 3
5495  135   86          6163 3
5496  134   86      6404.74 10
5497  137   86         5283 18
5498  136   86        5590.4 3
5499  131   86          7887 3
5500  130   86          8198 6
5501  133   86        6946.2 3
5502  132   86       7262.5 19
5503  145   86        1.8E+3 5
5504  142   86      2.91E+3 20
5505  141   86      3.38E+3 20
5506  144   86        2.2E+3 4
5507  143   86        2.4E+3 3
5508  109   86       7.69E+3 5
5509  109   86       7.69E+3 5
5510  108   86         7862 10
5511  107   86         8040 12
5512  117   86       6629.9 21
5513  117   86       6629.9 21
5514  117   86       6629.9 21
5515  117   86       6629.9 21
5516  116   86       6773.8 18
5517  116   86       6773.8 18
5518  119   86       6386.5 18
5519  119   86       6386.5 18
5520  118   86       6546.7 18
5521  118   86       6546.7 18
5522  113   86          7132 4
5523  113   86          7132 4
5524  113   86          7132 4
5525  113   86          7132 4
5526  112   86          7349 4
5527  112   86          7349 4
5528  115   86       6860.7 23
5529  115   86       6860.7 23
5530  115   86       6860.7 23
5531  115   86       6860.7 23
5532  114   86       7043.4 21
5533  114   86       7043.4 21
5534  111   86          7411 7
5535  111   86          7411 7
5536  110   86          7617 9
5537  110   86          7617 9
5538  139   87         4143 17
5539  138   87         4613 18
5540  137   87         4948 18
5541  132   87       7448.6 18
5542  131   87       8013.7 14
5543  131   87       8013.7 14
5544  131   87       8013.7 14
5545  130   87          8469 4
5546  136   87          5561 3
5547  136   87          5561 3
5548  135   87         5853 14
5549  134   87       6457.7 14
5550  134   87       6457.7 14
5551  133   87       6800.7 19
5552  133   87       6800.7 19
5553  129   87          9174 3
5554  128   87          9540 7
5555  128   87          9540 7
5556  128   87          9540 7
5557  128   87          9540 7
5558  128   87          9540 7
5559  127   87          8589 4
5560  127   87          8589 4
5561  126   87       6904.7 13
5562  126   87       6904.7 13
5563  121   87         6785 25
5564  121   87         6785 25
5565  120   87         6889 20
5566  120   87         6889 20
5567  125   87       6529.0 16
5568  125   87       6529.0 16
5569  124   87          6662 3
5570  124   87          6662 3
5571  123   87          6671 5
5572  123   87          6671 5
5573  122   87          6777 4
5574  122   87          6777 4
5575  143   87        2.4E+3 3
5576  142   87        2.9E+3 3
5577  141   87         3248 23
5578  140   87         3830 15
5579  146   87        1.6E+3 4
5580  146   87        1.6E+3 4
5581  145   87        1.8E+3 4
5582  144   87        2.2E+3 3
5583  118   87       7054.7 24
5584  118   87       7054.7 24
5585  117   87       7170.3 24
5586  117   87       7170.3 24
5587  117   87       7170.3 24
5588  117   87       7170.3 24
5589  117   87       7170.3 24
5590  117   87       7170.3 24
5591  116   87          7275 4
5592  115   87          7385 4
5593  115   87          7385 4
5594  119   87          6923 3
5595  119   87          6923 3
5596  119   87          6923 3
5597  119   87          6923 3
5598  119   87          6923 3
5599  119   87          6923 3
5600  110   87       7.90E+3 5
5601  114   87          7519 4
5602  114   87          7519 4
5603  113   87          7622 4
5604  112   87         7817 10
5605  112   87         7817 10
5606  112   87         7817 10
5607  111   87         7869 20
5608  137   88          5097 5
5609  136   88      5788.92 15
5610  136   88      5788.92 15
5611  139   88          4363 8
5612  138   88        4870.7 3
5613  138   88        4870.7 3
5614  131   88          8138 3
5615  130   88          8540 3
5616  133   88       6880.4 20
5617  133   88       6880.4 20
5618  132   88          7594 5
5619  135   88      5978.99 21
5620  135   88      5978.99 21
5621  134   88          6678 4
5622  134   88          6678 4
5623  126   88          7273 3
5624  126   88          7273 3
5625  125   88       6861.7 23
5626  125   88       6861.7 23
5627  125   88       6861.7 23
5628  125   88       6861.7 23
5629  128   88          9526 7
5630  128   88          9526 7
5631  127   88       8862.4 23
5632  129   88          9161 6
5633  120   88          7273 5
5634  120   88          7273 5
5635  122   88          7151 3
5636  122   88          7151 3
5637  121   88          7143 3
5638  121   88          7143 3
5639  124   88       7031.7 17
5640  124   88       7031.7 17
5641  123   88          7042 3
5642  123   88          7042 3
5643  147   88            0 0
5644  140   88         4070 10
5645  142   88         3344 15
5646  141   88         3603 19
5647  144   88         2829 20
5648  143   88         2906 18
5649  146   88      2.34E+3 20
5650  145   88         2547 16
5651  115   88          7736 6
5652  115   88          7736 6
5653  114   88          7880 7
5654  117   88         7486 20
5655  117   88         7486 20
5656  117   88         7486 20
5657  117   88         7486 20
5658  116   88          7637 7
5659  119   88       7.27E+3 6
5660  119   88       7.27E+3 6
5661  119   88       7.27E+3 6
5662  119   88       7.27E+3 6
5663  118   88          7415 4
5664  113   88         8002 12
5665  113   88         8002 12
5666  119   89       7.73E+3 6
5667  119   89       7.73E+3 6
5668  119   89       7.73E+3 6
5669  119   89       7.73E+3 6
5670  118   89       7.84E+3 6
5671  117   89       7.96E+3 6
5672  117   89       7.96E+3 6
5673  116   89       8.09E+3 6
5674  145   89         2930 15
5675  144   89         3215 14
5676  143   89         3345 15
5677  142   89         3655 14
5678  141   89         3893 17
5679  141   89         3893 17
5680  140   89         4444 17
5681  148   89        2.7E+3 4
5682  147   89       2.72E+3 4
5683  146   89         2852 16
5684  123   89         7540 24
5685  123   89         7540 24
5686  122   89       7.57E+3 5
5687  121   89       7.59E+3 6
5688  120   89       7.73E+3 6
5689  129   89       9.38E+3 6
5690  128   89         9832 10
5691  128   89         9832 10
5692  127   89          9241 3
5693  127   89          9241 3
5694  126   89          7746 3
5695  126   89          7746 3
5696  125   89       7351.9 25
5697  125   89       7351.9 25
5698  124   89          7498 4
5699  134   89       6783.2 10
5700  134   89       6783.2 10
5701  133   89       7137.4 20
5702  133   89       7137.4 20
5703  133   89       7137.4 20
5704  133   89       7137.4 20
5705  133   89       7137.4 20
5706  132   89       7.79E+3 6
5707  131   89          8348 4
5708  131   89          8348 4
5709  130   89       8.83E+3 5
5710  139   89         4721 11
5711  138   89      5042.27 14
5712  138   89      5042.27 14
5713  137   89          5506 8
5714  137   89          5506 8
5715  137   89          5506 8
5716  136   89       5935.1 14
5717  136   89       5935.1 14
5718  135   89        6326.9 7
5719  135   89        6326.9 7
5720  135   89        6326.9 7
5721  149   90        2.9E+3 5
5722  148   90        3.2E+3 3
5723  145   90         3376 17
5724  144   90         3672 11
5725  147   90         3196 18
5726  146   90         3333 17
5727  141   90       4213.4 16
5728  141   90       4213.4 16
5729  140   90       4770.0 15
5730  140   90       4770.0 15
5731  140   90       4770.0 15
5732  143   90         3745 16
5733  142   90       4081.6 14
5734  142   90       4081.6 14
5735  138   90      5520.15 22
5736  138   90      5520.15 22
5737  137   90      6146.60 10
5738  139   90       5167.6 10
5739  139   90       5167.6 10
5740  134   90          7299 6
5741  133   90          7567 4
5742  136   90       6452.5 10
5743  135   90       6921.4 21
5744  135   90       6921.4 21
5745  130   90         8973 11
5746  130   90         8973 11
5747  132   90          8133 3
5748  131   90          8625 4
5749  127   90          9435 4
5750  126   90          8072 4
5751  126   90          8072 4
5752  126   90          8072 4
5753  126   90          8072 4
5754  129   90       9.51E+3 6
5755  128   90          9849 9
5756  123   90          7837 7
5757  122   90          7958 5
5758  122   90          7958 5
5759  125   90          7665 4
5760  124   90          7827 5
5761  121   90       7.94E+3 6
5762  121   90       7.94E+3 6
5763  120   90          8069 6
5764  120   90          8069 6
5765  119   90      8.17E+3 11
5766  118   90       8.20E+3 3
5767  120   91       8.48E+3 4
5768  124   91       8.24E+3 6
5769  123   91       8.27E+3 5
5770  122   91         8384 12
5771  121   91       8.41E+3 6
5772  128   91      1.013E+4 7
5773  127   91         9791 12
5774  126   91          8489 4
5775  126   91          8489 4
5776  126   91          8489 4
5777  125   91         8099 11
5778  125   91         8099 11
5779  129   91         9704 11
5780  129   91         9704 11
5781  131   91       8.79E+3 6
5782  130   91       9.25E+3 6
5783  135   91         6987 10
5784  135   91         6987 10
5785  134   91       7.40E+3 6
5786  133   91          7694 4
5787  132   91       8.34E+3 6
5788  139   91        5439.4 7
5789  139   91        5439.4 7
5790  139   91        5439.4 7
5791  138   91          5835 4
5792  138   91          5835 4
5793  137   91       6264.5 15
5794  137   91       6264.5 15
5795  136   91       6580.4 21
5796  136   91       6580.4 21
5797  142   91         4375 12
5798  141   91          4627 8
5799  141   91          4627 8
5800  140   91        5149.9 8
5801  140   91        5149.9 8
5802  146   91         3795 18
5803  145   91         3755 19
5804  144   91         4101 19
5805  143   91         4076 16
5806  143   91         4076 16
5807  143   91         4076 16
5808  149   91      3.36E+3 20
5809  148   91      3.56E+3 20
5810  147   91         3628 21
5811  150   91            0 0
5812  123   92      1.86E+3 13
5813  130   92       9.48E+3 5
5814  132   92          8628 7
5815  131   92         9158 17
5816  131   92         9158 17
5817  134   92          7701 4
5818  133   92          8007 6
5819  125   92       8.43E+3 8
5820  124   92       8.53E+3 3
5821  124   92       8.53E+3 3
5822  124   92       8.53E+3 3
5823  127   92         9950 12
5824  126   92          8775 9
5825  126   92          8775 9
5826  129   92       9.89E+3 7
5827  128   92     1.029E+4 10
5828  128   92     1.029E+4 10
5829  141   92       4908.7 12
5830  141   92       4908.7 12
5831  141   92       4908.7 12
5832  141   92       4908.7 12
5833  140   92       5413.63 9
5834  140   92       5413.63 9
5835  140   92       5413.63 9
5836  143   92        4678.1 7
5837  143   92        4678.1 7
5838  143   92        4678.1 7
5839  143   92        4678.1 7
5840  143   92        4678.1 7
5841  143   92        4678.1 7
5842  143   92        4678.1 7
5843  142   92        4857.5 7
5844  142   92        4857.5 7
5845  142   92        4857.5 7
5846  142   92        4857.5 7
5847  145   92       4233.6 10
5848  144   92        4573.0 9
5849  144   92        4573.0 9
5850  136   92          6800 9
5851  136   92          6800 9
5852  135   92          7235 3
5853  138   92        5992.5 5
5854  138   92        5992.5 5
5855  138   92        5992.5 5
5856  137   92          6476 3
5857  137   92          6476 3
5858  139   92       5576.3 17
5859  139   92       5576.3 17
5860  150   92      3.67E+3 20
5861  151   92            0 0
5862  147   92         4130 13
5863  146   92       4269.9 21
5864  146   92       4269.9 21
5865  146   92       4269.9 21
5866  146   92       4269.9 21
5867  149   92      3.82E+3 20
5868  148   92         4035 14
5869  129   93        5.3E+2 8
5870  128   93       3.9E+2 22
5871  127   93        1.1E+2 3
5872  126   93       -2.5E+2 9
5873  133   93       8.33E+3 5
5874  132   93       8.82E+3 7
5875  132   93       8.82E+3 7
5876  131   93       1.30E+3 7
5877  130   93       9.0E+2 10
5878  149   93      4.10E+3 20
5879  149   93      4.10E+3 20
5880  148   93      4.36E+3 10
5881  147   93         4557 22
5882  147   93         4557 22
5883  147   93         4557 22
5884  146   93         4597 14
5885  145   93          4691 4
5886  152   93            0 0
5887  151   93      3.81E+3 22
5888  150   93      4.04E+3 20
5889  139   93      6.01E+3 10
5890  139   93      6.01E+3 10
5891  138   93       6.37E+3 5
5892  138   93       6.37E+3 5
5893  137   93       6.78E+3 5
5894  137   93       6.78E+3 5
5895  136   93       7.02E+3 6
5896  136   93       7.02E+3 6
5897  135   93      7.54E+3 10
5898  135   93      7.54E+3 10
5899  134   93         7816 14
5900  144   93        4957.3 7
5901  144   93        4957.3 7
5902  143   93       5.01E+3 5
5903  143   93       5.01E+3 5
5904  143   93       5.01E+3 5
5905  143   93       5.01E+3 5
5906  143   93       5.01E+3 5
5907  142   93       5193.8 15
5908  142   93       5193.8 15
5909  141   93          5356 9
5910  140   93       5.63E+3 5
5911  140   93       5.63E+3 5
5912  130   94        2.7E+3 3
5913  132   94      3.28E+3 22
5914  131   94        3.0E+3 3
5915  127   94        1.8E+3 3
5916  129   94        2.4E+3 3
5917  128   94        2.1E+3 4
5918  152   94      4.35E+3 20
5919  151   94      4.56E+3 20
5920  153   94        4.3E+3 4
5921  150   94       4665.6 10
5922  150   94       4665.6 10
5923  149   94          4757 3
5924  148   94       4984.2 10
5925  148   94       4984.2 10
5926  145   94      5244.52 21
5927  145   94      5244.52 21
5928  144   94      5593.27 19
5929  144   94      5593.27 19
5930  147   94        5140.1 5
5931  147   94        5140.1 5
5932  147   94        5140.1 5
5933  146   94      5255.82 14
5934  146   94      5255.82 14
5935  141   94         5951 20
5936  141   94         5951 20
5937  140   94          6310 5
5938  140   94          6310 5
5939  143   94       5747.6 23
5940  143   94       5747.6 23
5941  143   94       5747.6 23
5942  142   94       5867.15 8
5943  142   94       5867.15 8
5944  138   94         6716 10
5945  138   94         6716 10
5946  137   94         6839 20
5947  137   94         6839 20
5948  139   94       6.42E+3 5
5949  139   94       6.42E+3 5
5950  134   94         7940 18
5951  133   94      3.34E+3 14
5952  136   94          7178 9
5953  135   94       7.60E+3 6
5954  135   94       7.60E+3 6
5955  135   94       7.60E+3 6
5956  135   95      7.63E+3 10
5957  134   95      1.22E+3 11
5958  133   95      1.21E+3 22
5959  132   95         7.E+2 3
5960  139   95      6.80E+3 15
5961  139   95      6.80E+3 15
5962  138   95       7.06E+3 5
5963  138   95       7.06E+3 5
5964  137   95        7.2E+3 3
5965  137   95        7.2E+3 3
5966  136   95        7.4E+3 3
5967  136   95        7.4E+3 3
5968  142   95       6.20E+3 3
5969  142   95       6.20E+3 3
5970  141   95       6.26E+3 6
5971  141   95       6.26E+3 6
5972  141   95       6.26E+3 6
5973  141   95       6.26E+3 6
5974  140   95         6576 13
5975  140   95         6576 13
5976  146   95      5637.82 12
5977  146   95      5637.82 12
5978  145   95       5.71E+3 5
5979  145   95       5.71E+3 5
5980  145   95       5.71E+3 5
5981  144   95       5922.4 14
5982  144   95       5922.4 14
5983  143   95       6.04E+3 6
5984  143   95       6.04E+3 6
5985  149   95         5138 17
5986  149   95         5138 17
5987  149   95         5138 17
5988  149   95         5138 17
5989  148   95        5439.1 9
5990  148   95        5439.1 9
5991  147   95        5588.5 3
5992  147   95        5588.5 3
5993  147   95        5588.5 3
5994  147   95        5588.5 3
5995  147   95        5588.5 3
5996  147   95        5588.5 3
5997  147   95        5588.5 3
5998  147   95        5588.5 3
5999  153   95      4.90E+3 22
6000  152   95      4.92E+3 11
6001  151   95      5.15E+3 20
6002  151   95      5.15E+3 20
6003  151   95      5.15E+3 20
6004  150   95      5.16E+3 10
6005  128   95        -4.E+2 4
6006  129   95            0 AP
6007  131   95         6.E+2 4
6008  130   95            0 AP
6009  154   95        4.8E+3 4
6010  141   96       6.77E+3 5
6011  141   96       6.77E+3 5
