        n    z      alpha(keV)
497    31   15      -2.16E+4 7
498    30   15      -2.11E+4 6
499    30   15      -2.11E+4 6
500    30   15      -2.11E+4 6
501    30   15      -2.11E+4 6
502    14   15      -10461.8 4
503    13   15      -9524.0 12
504    13   15      -9524.0 12
505    13   15      -9524.0 12
506    12   15         -9832 9
507    12   15         -9832 9
508    11   15       -9.7E+3 4
509    11   15       -9.7E+3 4
510    11   15       -9.7E+3 4
511    18   15     -10554.5 11
512    17   15      -9879.07 6
513    16   15     7296.553 22
514    15   15     -10415.63 9
515    10   15       -9.3E+3 7
516    19   15     -11109.5 21
517     9   15            0 0
518     9   15            0 0
519    33   16      -1.91E+4 8
520    32   16      -1.93E+4 7
521    32   16      -1.93E+4 7
522    32   16      -1.93E+4 7
523    32   16      -1.93E+4 7
524    31   16      -1.96E+4 6
525    31   16      -1.96E+4 6
526    31   16      -1.96E+4 6
527    31   16      -1.96E+4 6
528    30   16      -1.86E+4 5
529    30   16      -1.86E+4 5
530    30   16      -1.86E+4 5
531    30   16      -1.86E+4 5
532    15   16       -9082.9 3
533    14   16     -9343.17 23
534    13   16        -9347 16
535    13   16        -9347 16
536    12   16     -9.10E+3 16
537    12   16     -9.10E+3 16
538    19   16      -8322.09 6
539    18   16      10883.3 11
540    17   16       9569.95 4
541    16   16    8863.9638 14
542    11   16       -8.9E+3 6
543    11   16       -8.9E+3 6
544    11   16       -8.9E+3 6
545    10   16       -8.4E+3 8
546    26   16    -1.589E+4 10
547    26   16    -1.589E+4 10
548    25   16    -1.486E+4 11
549    25   16    -1.486E+4 11
550    24   16     -1.283E+4 7
551    23   16     -1.120E+4 6
552    29   16      -1.90E+4 4
553    29   16      -1.90E+4 4
554    29   16      -1.90E+4 4
555    28   16    -1.730E+4 12
556    28   16    -1.730E+4 12
557    27   16    -1.694E+4 14
558    27   16    -1.694E+4 14
559    22   16         -9294 7
560    21   16       -8807.0 7
561    20   16      13095.3 19
562    28   17    -1.571E+4 18
563    28   17    -1.571E+4 18
564    29   17    -1.725E+4 14
565    29   17    -1.725E+4 14
566    29   17    -1.725E+4 14
567    24   17     -1.074E+4 8
568    25   17     -1.264E+4 9
569    26   17    -1.381E+4 13
570    26   17    -1.381E+4 13
571    27   17    -1.476E+4 12
572    27   17    -1.476E+4 12
573    20   17      8386.38 19
574    21   17       -7674.3 8
575    21   17       -7674.3 8
576    22   17         -7367 3
577    23   17      -9.73E+3 3
578    35   17            0 0
579    31   17      -1.78E+4 6
580    31   17      -1.78E+4 6
581    31   17      -1.78E+4 6
582    31   17      -1.78E+4 6
583    32   17      -1.76E+4 6
584    32   17      -1.76E+4 6
585    32   17      -1.76E+4 6
586    32   17      -1.76E+4 6
587    33   17      -1.76E+4 6
588    33   17      -1.76E+4 6
589    33   17      -1.76E+4 6
590    33   17      -1.76E+4 6
591    34   17      -1.69E+4 9
592    34   17      -1.69E+4 9
