z,n,levelEnergy(MeV),spinAndParity,massExcess(keV),halflife,decayMode,betaMinus(keV),electronCapture(keV),positronEmission(keV),neutronSeparationEnergy(keV),protonSeparationEnergy(keV),alpha(keV),deltaAlpha(keV),twoNeutronSeparationEnergy(keV),twoProtonSeparationEnergy(keV),doubleBetaMinus(keV),doubleElectronCapture(keV),electronCaptureOneProtonEmission(keV),betaMinusOneNeutronEmission(keV),betaMinusTwoNeutronEmission(keV),bindingEnergy(keV),bindingEnergyLDMFit(keV),pairingGap(keV),firstExcitedStateEnergy(keV),firstTwoPlusEnergy(keV),firstThreeMinusEnergy(keV),firstFourPlusEnergy(keV),firstFourPlusOverFirstTwoPlusEnergy,quadrupoleDeformation,BE4DBE2,thermalNeutronCapture(Barns),thermalNeutronFission(Barns),FY235U,FY239Pu,FY252Cf,
4,4,0.0,0+,4941.67 4,5.57 ev 25,A = 100.00,-17979.9 10,-16004.13 6,-17026.13 6,18898.64 8,17254.40 4,91.84 4,-3729.21 3,29576 5,27228.37 6,-30123 18,-26668.01 10,-28420 8,-3.081E+4 3,-58520.96 5,7062.436 4,-215.421 4,8617.05 6,3030 10,3030 10,,11.35E+3 15,3.74587 13,,,,,,,
4,5,0.0,3/2-,11348.45 8,STABLE,,,-1068.0 9,-13606.45 20,-14628.45 20,1664.54 8,16886.32 9,-2308 20,-4170 10,20563.18 10,29303 8,-17562.5 21,-2.959E+4 5,-27550.20 12,-19644.4 10,-32470.74 11,6462.669 9,-9.197 9,2573.87 7,1684 20,,,,,,8.603538E-3,,,,
4,6,0.0,0+,12607.49 8,1.51E+6 y 4,B- = 100.00,556.88 8,-20445 13,-21467 13,6812.28 5,19636.39 20,-7409.52 10,-2301.49 6,8476.82 9,33580.14 12,-3091.19 11,-3.659E+4 9,-3.562E+4 5,-7880.3 9,-26456.72 11,6497.631 8,65.385 8,3155.32 14,3368.03 3,3368.03 3,7371 1,11760 20,3.49165 7,,,,,,,
4,7,0.0,1/2+,20177.17 24,13.76 s 7,B- = 100.00,11509.46 24,-20551.1 7,-21573.1 7,501.6 3,20164 13,-8321 8,-2204 4,7313.92 25,3.534E+4 5,9527.77 25,,-3.631E+4 9,55.24 24,-8382.0 3,5952.540 22,-262.916 22,1334.5 10,320.04 10,,,,,,,,,,,
4,7,0.0,1/2+,20177.17 24,13.76 s 7,BA = 3.10,11509.46 24,-20551.1 7,-21573.1 7,501.6 3,20164 13,-8321 8,-2204 4,7313.92 25,3.534E+4 5,9527.77 25,,-3.631E+4 9,55.24 24,-8382.0 3,5952.540 22,-262.916 22,1334.5 10,320.04 10,,,,,,,,,,,
4,7,0.0,1/2+,20177.17 24,13.76 s 7,BN ? ,11509.46 24,-20551.1 7,-21573.1 7,501.6 3,20164 13,-8321 8,-2204 4,7313.92 25,3.534E+4 5,9527.77 25,,-3.631E+4 9,55.24 24,-8382.0 3,5952.540 22,-262.916 22,1334.5 10,320.04 10,,,,,,,,,,,
4,8,0.0,0+,25077.8 19,21.47 ms 4,B- = 100.00,11708.4 23,-2.393E+4 3,-2.495E+4 3,3170.7 19,22939.5 20,-8956.8 19,-2425.9 22,3672.4 19,3.870E+4 9,25077.8 19,,,8338.7 19,-3115 3,5720.72 16,-318.06 16,1840 5,2109 1,2109 1,,13.2E3 5,6.25889 4,,,,,,,
4,8,0.0,0+,25077.8 19,21.47 ms 4,BN = 0.50,11708.4 23,-2.393E+4 3,-2.495E+4 3,3170.7 19,22939.5 20,-8956.8 19,-2425.9 22,3672.4 19,3.870E+4 9,25077.8 19,,,8338.7 19,-3115 3,5720.72 16,-318.06 16,1840 5,2109 1,2109 1,,13.2E3 5,6.25889 4,,,,,,,
4,9,0.0,(1/2-),33659 10,2.7E-21 s 18,N  ,17097 10,-2.332E+4 7,-2.434E+4 7,-510 10,2.264E+4 3,-9.70E+3 5,-2.68E+3 3,2661 10,,30534 10,,,12218 10,8849 14,5241.4 8,-749.1 8,1.14E+3 7,,,,,,,,,,,,
4,11,,(5/2+),4.983E+4 17,0.58 mev 20,N = 100.00,2.087E+4 17,,,-1.80E+3 10,,,,0 AP,,3.995E+4 17,,,1.809E+4 17,1.712E+4 23,4541 11,-1266 11,1.12E+3 16,,,,,,,,,,,,
4,12,,0+,5.745E+4 17,0.8 mev 2,N = 100.00,2.034E+4 17,,,4.5E+2 14,,,,-1.35E+3 10,,4.375E+4 17,,,2.042E+4 17,1.764E+4 23,4285 10,-1394 10,,,,,,,,,,,,,
4,10,0.0,0+,3.995E+4 13,4.35 ms 17,B- = 100.00,1.629E+4 13,,,1.78E+3 13,2.432E+4 15,-1.167E+4 16,-2.90E+3 11,1.27E+3 13,,3.693E+4 13,,,1.532E+4 13,1.044E+4 19,4994 9,-885 9,1.79E+3 13,,,,,,,,,,,,
4,10,0.0,0+,3.995E+4 13,4.35 ms 17,BN = 86.00,1.629E+4 13,,,1.78E+3 13,2.432E+4 15,-1.167E+4 16,-2.90E+3 11,1.27E+3 13,,3.693E+4 13,,,1.532E+4 13,1.044E+4 19,4994 9,-885 9,1.79E+3 13,,,,,,,,,,,,
4,10,0.0,0+,3.995E+4 13,4.35 ms 17,B2N = 5.00,1.629E+4 13,,,1.78E+3 13,2.432E+4 15,-1.167E+4 16,-2.90E+3 11,1.27E+3 13,,3.693E+4 13,,,1.532E+4 13,1.044E+4 19,4994 9,-885 9,1.79E+3 13,,,,,,,,,,,,
4,10,0.0,0+,3.995E+4 13,4.35 ms 17,B3N ? 0.00,1.629E+4 13,,,1.78E+3 13,2.432E+4 15,-1.167E+4 16,-2.90E+3 11,1.27E+3 13,,3.693E+4 13,,,1.532E+4 13,1.044E+4 19,4994 9,-885 9,1.79E+3 13,,,,,,,,,,,,
4,10,0.0,0+,3.995E+4 13,4.35 ms 17,BA ? ,1.629E+4 13,,,1.78E+3 13,2.432E+4 15,-1.167E+4 16,-2.90E+3 11,1.27E+3 13,,3.693E+4 13,,,1.532E+4 13,1.044E+4 19,4994 9,-885 9,1.79E+3 13,,,,,,,,,,,,
5,12,0.0,(3/2-),4.372E+4 20,5.08 ms 5,B- = 100.00,2.268E+4 20,,,1.47E+3 21,2.10E+4 3,-1.569E+4 22,-2.61E+3 16,1.38E+3 21,,3.585E+4 20,,,2.195E+4 20,1.77E+4 3,5270 12,-688 12,7.4E+2 18,,,,,,,,,,,,
5,12,0.0,(3/2-),4.372E+4 20,5.08 ms 5,BN = 63.00,2.268E+4 20,,,1.47E+3 21,2.10E+4 3,-1.569E+4 22,-2.61E+3 16,1.38E+3 21,,3.585E+4 20,,,2.195E+4 20,1.77E+4 3,5270 12,-688 12,7.4E+2 18,,,,,,,,,,,,
5,12,0.0,(3/2-),4.372E+4 20,5.08 ms 5,B2N = 12.00,2.268E+4 20,,,1.47E+3 21,2.10E+4 3,-1.569E+4 22,-2.61E+3 16,1.38E+3 21,,3.585E+4 20,,,2.195E+4 20,1.77E+4 3,5270 12,-688 12,7.4E+2 18,,,,,,,,,,,,
5,12,0.0,(3/2-),4.372E+4 20,5.08 ms 5,B3N = 3.50,2.268E+4 20,,,1.47E+3 21,2.10E+4 3,-1.569E+4 22,-2.61E+3 16,1.38E+3 21,,3.585E+4 20,,,2.195E+4 20,1.77E+4 3,5270 12,-688 12,7.4E+2 18,,,,,,,,,,,,
5,12,0.0,(3/2-),4.372E+4 20,5.08 ms 5,B4N = 0.40,2.268E+4 20,,,1.47E+3 21,2.10E+4 3,-1.569E+4 22,-2.61E+3 16,1.38E+3 21,,3.585E+4 20,,,2.195E+4 20,1.77E+4 3,5270 12,-688 12,7.4E+2 18,,,,,,,,,,,,
5,13,0.0,(4-),5.179E+4 20,LT 26 ns ,N ? ,2.687E+4 21,,,-5 5,,,,1.46E+3 21,,3.868E+4 21,,,2.269E+4 20,2.20E+4 3,4977 11,-1049 11,0 AP,,,,,,,,,,,,
5,14,0.0,(3/2-),5.98E+4 5,2.92 ms 13,B- = 100.00,2.74E+4 5,,,0 AP,,,,0 AP,,4.39E+4 5,,,2.68E+4 5,2.26E+4 7,4.72E+3 3,-1.11E+3 3,8.E+2 5,,,,,,,,,,,,
5,14,0.0,(3/2-),5.98E+4 5,2.92 ms 13,BN = 71.80,2.74E+4 5,,,0 AP,,,,0 AP,,4.39E+4 5,,,2.68E+4 5,2.26E+4 7,4.72E+3 3,-1.11E+3 3,8.E+2 5,,,,,,,,,,,,
5,14,0.0,(3/2-),5.98E+4 5,2.92 ms 13,B2N = 16.00,2.74E+4 5,,,0 AP,,,,0 AP,,4.39E+4 5,,,2.68E+4 5,2.26E+4 7,4.72E+3 3,-1.11E+3 3,8.E+2 5,,,,,,,,,,,,
5,14,0.0,(3/2-),5.98E+4 5,2.92 ms 13,B3N LT 9.10,2.74E+4 5,,,0 AP,,,,0 AP,,4.39E+4 5,,,2.68E+4 5,2.26E+4 7,4.72E+3 3,-1.11E+3 3,8.E+2 5,,,,,,,,,,,,
5,15,,,6.94E+4 5,,,,3.19E+4 6,,,-1.56E+3 15,,,,-1.5E+3 6,,4.76E+4 6,,,2.89E+4 6,2.83E+4 8,4.41E+3 3,-1.40E+3 3,0 AP,0.94E3 17,,,,,,,,,,,
5,16,,,7.84E+4 6,,,,3.27E+4 8,,,-9.1E+2 24,,,,-2.47E+3 19,,5.32E+4 6,,,3.28E+4 6,2.98E+4 8,4.15E+3 3,-1.45E+3 3,,,,,,,,,,,,,
5,10,0.0,,28957 21,10.18 ms 3,B- = 100.00,19084 21,-2.087E+4 17,-2.189E+4 17,2.78E+3 3,1.829E+4 13,-14196 21,-665 17,3747 21,4.260E+4 7,28856 21,,,17866 21,9.69E+3 3,5880.0 14,-298.9 14,1430 22,,,,,,,,,,,,
5,10,0.0,,28957 21,10.18 ms 3,BN = 99.60,19084 21,-2.087E+4 17,-2.189E+4 17,2.78E+3 3,1.829E+4 13,-14196 21,-665 17,3747 21,4.260E+4 7,28856 21,,,17866 21,9.69E+3 3,5880.0 14,-298.9 14,1430 22,,,,,,,,,,,,
5,10,0.0,,28957 21,10.18 ms 3,B2N LT 1.50,19084 21,-2.087E+4 17,-2.189E+4 17,2.78E+3 3,1.829E+4 13,-14196 21,-665 17,3747 21,4.260E+4 7,28856 21,,,17866 21,9.69E+3 3,5880.0 14,-298.9 14,1430 22,,,,,,,,,,,,
5,11,0.0,0-,37112 25,LT 190 ps ,N  ,23418 25,-2.034E+4 17,-2.136E+4 17,-83 15,2.000E+4 17,-1.432E+4 4,-1.72E+3 5,2.69E+3 3,,31428 25,,,19167 25,1.795E+4 3,5507.4 15,-615.3 15,7.7E+2 10,2.32E3,,,,,,,,,,,
5,1,,,4.73E+4 20,,2P ? ,,2.89E+4 20,2.79E+4 20,,-3.E+3 3,,,,-7.4E+3 20,,3.32E+4 20,2.84E+4 20,,,-5.E+2 3,-6.2E+3 3,,,,,,,,,,,,,
5,2,0.0,(3/2-),2.768E+4 3,1.4 mev 2,A  ,,1.191E+4 3,1.089E+4 3,2.77E+4 20,-2.01E+3 3,-3.4E+3 20,-1.2E+3 10,,-1.42E+3 6,,1.277E+4 3,6.30E+3 3,,,3559 4,-2527 4,7.4E+3 10,,,,,,,,,,,,
5,2,0.0,(3/2-),2.768E+4 3,1.4 mev 2,P  ,,1.191E+4 3,1.089E+4 3,2.77E+4 20,-2.01E+3 3,-3.4E+3 20,-1.2E+3 10,,-1.42E+3 6,,1.277E+4 3,6.30E+3 3,,,3559 4,-2527 4,7.4E+3 10,,,,,,,,,,,,
5,3,0.0,2+,22921.6 10,770 ms 3,EC = 100.00,-12143 18,17979.9 10,16957.9 10,1.283E+4 3,136.4 10,-4.83E+3 21,-1.59E+3 11,4.05E+4 20,5743.3 10,,1975.8 10,725.5 10,,,4717.16 13,-803.06 13,2875 13,769.5 25,,,,,,,,,,,
