Z,N,Halflife,Alpha,DeltaAlpha,Intens,DeltaIntens
52,53,6.20E-07,4703,5,100,14
52,54,5.10E-05,4128,9,100,0
52,55,0.0031,3690,5,0.33,15
52,55,0.0031,3853,13,7.00E+01,0.00
52,56,2.1,3318,4,49,0
52,57,4.4,3040,30,3.9,0
52,58,18.6,2624,15,6.70E-04,0
53,56,9.28E-05,3774,20,0.014,0
53,57,0.65,3444,10,17,0
53,58,2.5,3152,10,0.088,0
53,59,3.42,2880,30,0.0012,0
53,60,6.6,2610,40,3.30E-05,0
54,54,5.40E-05,4.32E+03,16,100,0
54,55,0.013,3914,7,30,4
54,55,0.013,4063,3,70,4
54,58,2.7,3211,7,0.8,0
54,59,2.74,2978,8,0.01,0
55,59,0.57,3233,21,0.018,0
56,58,0.43,3410,40,0.9,0
61,84,5.59E+08,2240,40,2.80E-05,0
62,84,3.25E+15,2460,3,100,0
62,85,3.38E+18,2248,1,100,0
62,86,2.21E+23,1932.3,12,100,0
63,84,2082240,2908,5,0.0022,0
63,85,4708800,2630,30,9.00E-07,0
64,84,2.35E+09,3182.69,24,100,0
64,86,5.65E+13,2726,9,100,0
64,87,1.07E+07,2600,30,8.00E-07,0
64,88,3.41E+21,2146.9,14,100,0
65,84,249.6,3999,7,0.022,0
65,84,14824.8,3644,3,0.005,17
65,84,14824.8,3967,3,16.7,0
65,85,12528,3492,5,7.00E-04,0
65,86,63392.4,3183,5,9.50E-06,0
65,86,63392.4,3407,4,0.0095,0
66,84,430.2,4232,4,33.6,0
66,85,1074,4069.4,24,5.6,0
66,86,8568,3628,4,0.1,0
66,87,23040,3305,5,1.90E-06,10
66,87,23040,3464,5,0.0094,14
66,88,9.47E+13,2870,5,100,0
67,84,47.2,4610.6,22,80,0
67,85,50,4149,0,0.011,11
67,85,50,4225,0,0.011,11
67,85,50,4454,3,10.8,0
67,85,161.8,4115,0,0.012,12
67,85,161.8,4199,0,0.012,12
67,85,161.8,4215,0,0.012,12
67,85,161.8,4281,0,0.012,12
67,85,161.8,4386,3,12,0
67,86,120.6,3910,5,0.05,0
67,86,558,4011,5,0.18,0
67,87,186,3721,5,0.001,0
67,87,705.6,3721,5,0.019,0
68,84,10.3,4804.3,16,91,0
68,85,37.1,4674,2,53,0
68,86,223.8,4168,3,0.47,0
68,87,318,4012,5,0.022,0
69,84,1.48,4586,10,0.00409,0
69,84,1.48,4902,15,0.00164,0
69,84,1.48,5103,3,91,0
69,84,2.5,4586,10,0.00414,0
69,84,2.5,4902,15,0.00166,0
69,84,2.5,5096,4,92,0
69,85,3.3,4840,15,0.14,3
69,85,3.3,5031,3,58,0
69,85,8.1,4825,15,0.24,11
69,85,8.1,4956,3,54,0
69,87,83.8,4232,7,0.064,0
70,84,0.409,5330.9,17,92.6,0
70,85,1.793,5200,3,89,0
70,86,26.1,4687,4,10,0
70,88,89.4,4065,7,0.0021,0
71,85,0.198,5565,3,100,0
71,85,0.494,5453,3,95,0
71,86,4.79,4996,4,6,0
71,87,10.6,4669,4,0.91,0
72,84,5.20E-04,7782,4,100,0
72,84,0.023,5873,4,100,0
72,85,0.115,5731,3,94,0
72,86,2.85,5268,3,44.3,0
72,88,13.6,4780,3,0.7,0
72,89,18.2,4599,7,0.29,0
72,90,39.4,3958,5,1.80E-05,19
72,90,39.4,4308,6,0.008,10
73,84,0.0017,7744,8,100,0
73,84,0.0043,6214,4,100,0
73,84,0.0101,6117,4,96.6,0
73,86,0.518,5600,5,55,0
73,86,1.04,5518,5,34,0
73,87,1.55,5412,5,34,0
73,88,3.08,5147,2,7,0
73,89,3.57,4883,4,0.074,0
74,84,1.43E-04,8286,7,100,0
74,84,0.00125,6445,3,100,0
74,85,0.0084,6295,5,100,0
74,86,0.091,5912,5,87,0
74,87,0.409,5775,5,73,0
74,88,1.19,5536,3,45.2,0
74,90,6.3,5149.6,23,3.8,0
74,91,5.1,4909,5,0.2,0
74,92,19.2,4739,4,0.035,0
74,94,50.9,4399,12,0.0031,10
75,84,2.10E-05,6776,26,8,0
75,85,6.12E-04,6530,4,11,0
75,86,0.0147,6270,4,95.2,0
75,87,0.077,6119,3,91,0
75,87,0.107,6086,5,97,0
75,90,2.32,5518,3,13,0
75,91,2.25,5522,7,24,0
76,85,6.40E-04,6580,30,6,3
76,85,6.40E-04,6890,12,94,3
76,86,0.0021,6602,4,100,0
76,88,0.021,6321,7,96,0
76,89,0.071,6183,9,80,0
76,90,0.208,5993,4,72,0
76,91,0.839,5839,3,50,0
76,92,2.1,5676,4,42,4
76,93,3.4,5508,8,1.56,0
76,93,3.4,5536,10,1.04,0
76,93,3.4,5577,8,10.4,0
76,94,7.37,5407.1,24,9.2,10
76,95,8.3,5166,10,0.117,0
76,95,8.3,5244,4,1.68,0
76,97,22.4,4939,6,0.021,0
76,98,44,4760,10,0.02,0
77,87,7.00E-05,6880,10,4,0
77,88,3.00E-04,6715,7,13,0
77,89,0.0105,6562,6,93,0
77,89,0.0151,6560,5,98.2,0
77,91,0.159,6260,10,55,8
77,91,0.159,6322,8,22,10
77,92,0.28,6119,5,79,0
77,92,0.57,6008,7,56,0
77,93,0.87,5815,4,5.2,0
77,95,2.19,5828,3,23,0
77,95,4.4,5515,7,2,0
77,96,2.16,5672,3,11,0
77,96,9.3,5418,4,4,0
77,97,5.01,5316,10,0.3,4
77,97,5.01,5478,6,2.2,3
77,97,7.9,5275,10,0.5,0
77,98,9,5393,5,0.9,0
77,99,8.6,5118,8,2.6,0
77,100,30,5011,10,0.06,0
78,89,7.80E-04,6982,6,100,0
78,90,0.00202,6832,10,99.3,0
78,91,0.00699,6692,3,100,0
78,92,0.0139,6548.4,18,98,0
78,93,0.044,6453,3,98,0
78,95,0.382,6067,5,0.86,9
78,95,0.382,6100,5,0.86,9
78,95,0.382,6133,5,1.72,19
78,95,0.382,6211,6,83,4
78,96,0.891,5762,5,0.4,4
78,96,0.891,6039,3,74,4
78,97,2.43,5814,4,4,9
78,97,2.43,5819,4,0.7,20
78,97,2.43,5948,4,54,7
78,97,2.43,6021,4,4.7,9
78,98,6.3,5530,3,0.1,5
78,98,6.3,5753,3,40,3
78,99,10.6,5423,10,0.66,7
78,99,10.6,5517,4,5,4
78,100,21.1,5291,4,0.23,19
78,100,21.1,5446,3,4,3
78,101,21.1,5195,9,0.24,0
78,102,56,5140,10,0.28,14
78,103,52,4950,10,0.0028,0
78,103,52,5036,5,0.071,0
78,104,132,4843,5,0.035,4
78,105,390,4719,9,0.0096,0
78,106,1038,4502,10,0.0016,7
78,110,881279.1,3919,7,2.50E-05,3
78,112,2.05E+19,3175,14,100,0
79,91,2.90E-04,7001,10,11,0
79,91,6.20E-04,7107,6,42,0
79,92,0.00102,6996,6,54,0
79,93,0.0077,6800,10,29,10
79,93,0.0077,6870,6,70,11
79,93,0.022,6762,10,100,0
79,94,0.014,6737,4,92,0
79,94,0.025,6683,9,94,0
79,95,0.139,6547,5,90,0
79,95,0.163,6433,5,29.6,20
79,95,0.163,6471,5,68.5,23
79,95,0.163,6629,10,2,20
79,96,0.137,6434,4,90,0
79,96,0.201,6433,4,90,0
79,97,1.36,6082,7,26,5
79,97,1.36,6117,7,66,5
79,97,1.36,6287,7,8,10
79,102,13.7,5196,10,0.0024,14
79,102,13.7,5242,10,0.0011,11
79,102,13.7,5301,5,0.007,17
79,102,13.7,5364,5,0.108,23
79,102,13.7,5407,5,0.07,17
79,102,13.7,5479,5,1.19,22
79,102,13.7,5545,5,0.084,19
79,102,13.7,5581,5,0.084,19
79,102,13.7,5626,5,1.16,22
79,103,15.5,5283,5,0.009,0
79,103,15.5,5352,5,0.09,0
79,103,15.5,5403,5,0.027,0
79,104,42.8,4964,10,0.0011,7
79,104,42.8,5084,10,0.0022,11
79,104,42.8,5160,5,0.0032,16
79,104,42.8,5346,3,0.54,25
79,105,47.6,4980,5,0.00171,8
79,105,47.6,5024,5,0.00165,8
79,105,47.6,5065,15,0.00104,8
79,105,47.6,5109,5,0.00747,8
79,105,47.6,5187,5,0.00411,8
79,106,255,4579,10,7.80E-05,0
79,106,255,4826,10,3.90E-04,0
79,106,255,5069,5,0.26,0
79,107,642,4653,15,8.00E-04,0
79,108,504,4690,20,0.003,0
80,93,7.00E-04,7203,9,100,14
80,94,0.0019,7067,6,99.7,0
80,95,0.0107,6882,5,99,0
80,96,0.0216,6751,5,94,0
80,97,0.118,6579,4,100,0
80,99,1.05,6285,3,53,0
80,100,2.58,5689,5,0.0379,0
80,100,2.58,5862,5,0.026,4
80,100,2.58,6119,4,47.9,17
80,101,3.4,5916,10,1.1,5
80,101,3.4,5938,10,1.5,4
80,101,3.4,6006,5,21.4,20
80,101,3.4,6071,10,0.36,8
80,101,3.4,6148,10,0,0
80,102,10.83,5455,10,0.036,9
80,102,10.83,5700,5,0.087,16
80,102,10.83,5867,5,15,0
80,103,9.4,5669,10,0.035,0
80,103,9.4,5819,10,0.43,11
80,103,9.4,5834,10,0.61,16
80,103,9.4,5904,5,11,3
80,104,30.87,5055,15,0.002,5
80,104,30.87,5380,15,0.005,13
80,104,30.87,5539,5,1.25,20
80,105,21.6,5372,8,0.024,3
80,105,21.6,5408,10,0.006,8
80,105,49.1,5569,5,0.24,4
80,105,49.1,5653,5,5.8,10
80,107,114,5035,20,0.012,0
80,107,144,4870,20,0.025,0
80,108,195,4610,20,3.60E-05,8
81,96,0.018,6907,7,73,0
81,98,0.23,6567,8,100,0
81,100,0.0014,6578,7,0.38,6
81,100,0.0014,6818,15,0.006,3
81,100,0.0014,6974,15,0.01,3
81,100,2.9,6183,7,8.6,0
81,101,2.9,6406,10,4,0
81,102,0.0533,6338,6,1.2,3
81,102,0.0533,6381,11,0.24,6
81,102,0.0533,6453,11,0.015,5
81,105,27.5,5760,0,0.006,0
81,106,15.6,5536,0,0.007,7
82,99,0.0396,7004,7,100,0
82,99,0.0396,7093,20,2.5,25
82,101,0.415,6704,6,98,10
82,101,0.415,6868,7,2.5,6
82,101,0.535,6576,6,24,4
82,101,0.535,6777,6,66,7
82,103,6.3,6288,5,19,14
82,103,6.3,6486,5,15,11
82,103,6.3,6548,0,0.2,3
82,104,4.82,5988,8,0.03,3
82,104,4.82,6014,13,0.08,3
82,104,4.82,6331,6,40,8
82,105,15.2,5993,10,2.8,8
82,105,15.2,6194,10,4.2,12
82,105,18.3,6077,7,12,0
82,106,25.1,5614,10,0.093,12
82,106,25.1,5633,10,0.0088,0
82,106,25.1,5983,4,9.2,8
82,108,71,5060,12,5.60E-05,25
82,108,71,5181,5,3.40E-04,7
82,108,71,5581,4,0.4,0
82,109,79.8,5290,20,0.013,0
82,110,210,5112,5,0.0059,0
82,112,642,4640,20,7.00E-06,0
82,120,1.66E+12,2539,4,1,0
82,128,7.01E+08,3720,20,1.90E-06,0
83,103,0.0098,7263,5,96,0
83,103,0.0098,7369,10,1,10
83,104,3.70E-04,7721,8,100,14
83,104,0.038,7000,5,88,9
83,104,0.038,7342,15,3,8
83,104,0.038,7612,5,9,10
83,105,0.06,6889,10,0.33,10
83,105,0.06,6992,5,97.7,20
83,105,0.06,7106,5,2.05,19
83,105,0.265,6813,5,91.2,12
83,105,0.265,6995,15,1.4,5
83,105,0.265,7232,10,4.1,9
83,105,0.265,7302,5,3.3,9
83,106,0.005,7114,7,10,3
83,106,0.005,7294,6,73,5
83,106,0.674,6550,15,0.9,7
83,106,0.674,6670.9,22,71,7
83,106,0.674,6833,6,1,5
83,106,0.674,7115,4,4.5,23
83,107,6.2,6456,5,68,0
83,107,6.2,6734,5,1.01,19
83,107,6.2,6819,5,1.15,20
83,108,0.125,6871,3,68,0
83,109,34.6,6060,5,12,5
83,109,34.6,6245,5,0.36,17
83,109,39.6,6052,5,9,3
83,109,39.6,6081,10,0.65,20
83,109,39.6,6253,5,0.054,25
83,109,39.6,6348,5,0.23,7
83,110,3.2,6475,5,84,0
83,110,63.6,5899,5,2.1,11
83,110,63.6,6174,5,0.09,5
83,111,95,5645,5,0.46,25
83,111,95,5799,5,0.0027,15
83,111,115,5335,5,3.00E-04,12
83,111,115,5599,5,0.18,6
83,111,115,5660,5,0.004,15
83,111,115,5781,5,0.0054,19
83,111,115,5892,5,0.007,3
83,112,87,5772,5,0.05,3
83,112,87,6106,5,33,17
83,112,183,5420,5,0.027,18
83,112,183,5713,5,0.0027,18
83,113,240,5112,5,3.80E-04,0
83,113,307.8,5153,5,0.0012,0
83,114,309,5776,4,6.00E+01,0
83,116,1482,5484,5,0.01,0
83,118,3546,5240,6,0.3,0
83,126,6.34E+26,2877,0,1.2,3
83,126,6.34E+26,3077,22,98.8,3
83,127,433036.8,4656,4,7.90E-05,10
83,127,433036.8,4694,4,5.30E-05,7
83,127,9.59E+13,4100,8,0.002,0
83,127,9.59E+13,4230,8,8.00E-04,0
83,127,9.59E+13,4268,8,0.006,0
83,127,9.59E+13,4420,1,0.21,0
83,127,9.59E+13,4568,2,3.9,0
83,127,9.59E+13,4582,2,1.4,0
83,127,9.59E+13,4909,1,39.5,0
83,127,9.59E+13,4946,1,55,0
83,128,128.4,5299.4,5,9.00E-04,9
83,128,128.4,6278.2,7,16.19,14
83,128,128.4,6622.9,6,83.54,14
83,129,1500,5750,0,0.47,20
83,129,1500,6010,0,5,10
83,129,1500,6300,0,26,11
83,129,1500,6340,0,35,11
83,129,3633,5302,2,4.00E-05,4
83,129,3633,5345,0,3.60E-04,4
83,129,3633,5481,0,0.004672,0
83,129,3633,5607,0,0.4061,0
83,129,3633,5626,0,0.05643,0
83,129,3633,5768,0,0.611,0
83,129,3633,6050.78,3,25.13,7
83,129,3633,6089.88,3,9.75,5
83,130,2736.6,5558,4,0.181,3
83,130,2736.6,5875,4,1.959,9
83,131,1194,4941,0,5.30E-05,11
83,131,1194,5023,0,4.40E-05,9
83,131,1194,5184,0,1.28E-04,14
83,131,1194,5273,9,0.00122,6
83,131,1194,5452,3,0.0113,5
83,131,1194,5516,3,0.0082,4
84,103,0.0014,7528,15,100,0
84,103,0.0014,7808,0,1,10
84,104,2.80E-04,7353,27,20,4
84,104,2.80E-04,7911,13,80,9
84,105,0.0035,7259,15,80,12
84,105,0.0035,7309,20,12,5
84,105,0.0035,7532,20,8,6
84,106,0.00245,6896,20,0.3,10
84,106,0.00245,7012,20,3.3,4
84,106,0.00245,7537,6,96.4,4
84,107,0.022,6966,10,7.9,24
84,107,0.022,7334,5,76,8
84,107,0.022,7336,15,14.9,25
84,107,0.093,6790,15,0.5,3
84,107,0.093,6815,15,9.6,20
84,107,0.093,6888,5,36,8
84,107,0.093,6909,15,3.7,11
84,107,0.093,7376,5,45.7,19
84,108,0.0322,6602,5,1.43,21
84,108,0.0322,7167,3,99,10
84,109,0.245,6375,15,0.8,3
84,109,0.245,7002,4,99.2,3
84,109,0.388,6420,20,0.7,3
84,109,0.388,6948,4,99.3,3
84,110,0.392,6194,7,0.22,3
84,110,0.392,6843,3,93,7
84,111,1.92,6050,20,0.18,11
84,111,1.92,6699,5,90,9
84,111,4.64,6606,5,75,8
84,112,5.6,5687,0,0.003,3
84,112,5.6,5769,0,0.0207,0
84,112,5.6,6521.9,21,94,0
84,113,53.6,6281,4,44,0
84,114,106.2,5273,0,7.70E-04,14
84,114,106.2,6181,3,58,20
84,115,250.2,6059,3,39,0
84,115,328.2,5952,2,12,0
84,116,690,5861.9,18,11.1,0
84,117,534,5786,2,2.9,3
84,117,918,5599,2,0.032,7
84,117,918,5683,2,1.6,0
84,118,2676,5588.1,17,1.92,0
84,119,2202,5383,3,0.11,0
84,119,2202,5388,8,0.0011,23
84,120,12708,5377.1,12,0.66,0
84,121,6264,5220,10,0.04,0
84,122,760320,5223.7,15,5.45,0
84,123,20880,5115.4,24,0.021,0
84,124,9.15E+07,4220,15,2.40E-04,7
84,124,9.15E+07,5114.9,14,99.9958,4
84,125,3.88E+09,4110,15,5.60E-04,4
84,125,3.88E+09,4310,15,1.50E-04,4
84,125,3.88E+09,4622,5,0.55,6
84,125,3.88E+09,4883,2,85,8
84,125,3.88E+09,4885,2,14.3,14
84,126,1.20E+07,4516.58,10,0.00104,6
84,126,1.20E+07,5304.33,7,100,0
84,127,0.516,5848.2,5,8.10E-04,10
84,127,0.516,6568.3,9,0.537,19
84,127,0.516,6891.5,8,0.546,19
84,127,0.516,7450.3,5,98.916,0
84,128,1.71E-08,10180,30,42,0
84,128,2.99E-07,8784.86,12,100,0
84,128,45.1,8525,8,2.05,9
84,128,45.1,9102,10,1,4
84,128,45.1,11660,10,96.83,10
84,129,3.72E-06,7614,10,0.0045,4
84,129,3.72E-06,8376,3,100,0
84,130,1.64E-04,6609.8,11,6.00E-05,20
84,130,1.64E-04,6902.2,3,0.0104,6
84,130,1.64E-04,7686.82,7,99.9895,6
84,131,0.00178,6519,20,3.00E-04,3
84,131,0.00178,6589,8,0.002,6
84,131,0.00178,6636,15,3.00E-04,3
84,131,0.00178,6671,10,8.00E-04,3
84,131,0.00178,6754,10,8.00E-04,3
84,131,0.00178,6802,8,0.0016,5
84,131,0.00178,6819,15,4.00E-04,20
84,131,0.00178,6954,3,0.06,20
84,131,0.00178,7386.1,8,99.99977,0
84,132,0.144,5985,0,0.0019,3
84,132,0.144,6778.3,5,99.9981,3
84,133,1.53,6539,4,97.5,0
84,134,185.82,5181,2,0,0
84,134,185.82,6002.55,10,99.9789,0
85,106,0.0017,7552,11,100,0
85,106,0.0021,7653,15,98,10
85,106,0.0021,7715,13,2,20
85,107,0.0115,7363,15,12,20
85,107,0.0115,7435,15,56,4
85,107,0.0115,7470,15,31,3
85,107,0.0115,7535,25,0.5,5
85,107,0.088,7195,15,4,7
85,107,0.088,7224,15,82,3
85,107,0.088,7385,15,14,20
85,107,0.088,7535,25,0.5,5
85,108,0.021,7325,5,98,10
85,108,0.021,7423,5,2,20
85,108,0.027,7106,5,24,0
85,108,0.028,7235,5,100,0
85,109,0.286,7145,15,9,3
85,109,0.286,7190,15,83,9
85,109,0.286,7266,15,7,3
85,109,0.286,7310,15,0.8,8
85,109,0.323,6908,15,1,3
85,109,0.323,7087,15,13,24
85,109,0.323,7135,15,8,22
85,109,0.323,7178,15,78,9
85,110,0.143,7075,4,84,4
85,110,0.143,7221,4,4,5
85,110,0.29,6953,3,100,0
85,111,0.387,7049,3,94,0
85,112,0.381,6960,3,96.1,0
85,112,2,6707,4,100,0
85,113,1.25,6322,12,0.005,3
85,113,1.25,6338,8,0.102,20
85,113,1.25,6753,8,0.18,13
85,113,1.25,6852,4,93,7
85,113,4.46,6275,8,0.078,10
85,113,4.46,6359,8,0.107,10
85,113,4.46,6361,9,0.0078,20
85,113,4.46,6537,8,0.019,3
85,113,4.46,6750,4,97,0
85,114,0.31,6480,0,1,0
85,114,6.92,6643,3,90,0
85,115,3.5,6536.9,21,10.5,0
85,115,43,6464.6,13,57,0
85,115,47,6306,5,0.073,21
85,115,47,6411.8,13,43,7
85,115,47,6575,3,0.36,8
85,116,83,6342,1,59,0
85,117,0.46,6227,5,0.096,0
85,117,182,6134.6,12,8.7,0
85,117,184,5929,10,0.015,0
85,117,184,6070,10,0.074,0
85,117,184,6227.7,14,37,0
85,118,444,6087,1,27,0
85,119,553.2,5950.3,13,3.91,0
85,120,1614,5902,2,10,0
85,121,1836,5702.6,18,0.86,8
85,121,1836,5734,3,0.01,3
85,121,1836,5767,3,0.021,4
85,121,1836,5774,4,0.008,3
85,122,6516,5758,3,8.6,0
85,123,5868,5586,2,0.0048,0
85,123,5868,5626,4,0.0118,17
85,123,5868,5640.3,21,0.53,6
85,124,19512,5647,2,3.9,4
85,125,29160,5175,4,3.70E-04,11
85,125,29160,5242,3,0.0016,3
85,125,29160,5361.1,10,0.049,7
85,125,29160,5386,1,0.0081,11
85,125,29160,5442,15,0.05,6
85,125,29160,5456,2,7.00E-04,13
85,125,29160,5465.5,15,0.0126,15
85,125,29160,5524,15,0.053,6
85,126,25970.4,4895.4,11,2.00E-05,20
85,126,25970.4,4997,7,4.20E-04,4
85,126,25970.4,5141,2,0.00104,17
85,126,25970.4,5210,15,0.0038,3
85,126,25970.4,5869.5,22,41.8,0
85,127,0.119,6812.9,8,0.36,4
85,127,0.119,6947.4,15,0.052,7
85,127,0.119,7022,2,0.13,20
85,127,0.119,7251.1,9,0.38,8
85,127,0.119,7272.1,7,0.36,8
85,127,0.119,7298.7,15,0.07,10
85,127,0.119,7388,6,0.35,20
85,127,0.119,7826.7,2,67.6,6
85,127,0.119,7888,2,30.7,5
85,127,0.314,6621.8,8,0.135,6
85,127,0.314,6758.1,12,0.07,20
85,127,0.314,6798,2,0.048,5
85,127,0.314,7049.1,4,0.4,20
85,127,0.314,7079.8,3,0.59,10
85,127,0.314,7168.2,5,0.15,7
85,127,0.314,7607.9,2,15.4,6
85,127,0.314,7669.3,2,83.2,6
85,128,1.25E-07,9079,5,100,0
85,129,5.58E-07,8270,5,0.32,3
85,129,5.58E-07,8480,6,0.58,4
85,129,5.58E-07,8507,7,0.15,4
85,129,5.58E-07,8819,4,98.95,6
85,129,7.60E-07,8390,6,0.18,3
85,129,7.60E-07,8620,5,0.3,3
85,129,7.60E-07,8782,5,99.18,6
85,130,1.00E-04,7610,10,0.05,20
85,130,1.00E-04,8026,4,99.95,20
85,131,0,7960,0,100,0
85,131,3.00E-04,7240,15,0.06,0
85,131,3.00E-04,7317,15,0.09,0
85,131,3.00E-04,7392,0,0.14,14
85,131,3.00E-04,7394,0,0.14,14
85,131,3.00E-04,7470,15,0.25,25
85,131,3.00E-04,7556,0,0.07,3
85,131,3.00E-04,7560,15,0.25,25
85,131,3.00E-04,7593,0,0.16,5
85,131,3.00E-04,7610,16,0.25,25
85,131,3.00E-04,7689,0,1.4,20
85,131,3.00E-04,7802,3,97.5,0
85,132,0.0326,6037,0,1.00E-03,10
85,132,0.0326,6322,16,0.005,10
85,132,0.0326,6484.7,16,0.021,20
85,132,0.0326,6813.8,16,0.038,3
85,132,0.0326,7066.9,16,99.89,10
85,133,1.27,6654,5,6.9,10
85,133,1.27,6693,3,92.7,5
85,133,1.27,6760,0,0.4,4
85,134,56,6208,15,97,0
85,135,222.6,5943,6,8,0
86,107,0.00115,7685,15,74,21
86,107,0.00115,7875,20,26,12
86,108,7.80E-04,7700,10,100,0
86,109,0.005,7555,11,99.8,0
86,109,0.006,7536,11,99.75,0
86,110,0.0044,7462,8,99.8,0
86,111,0.024,7356,7,100,0
86,111,0.055,7260,7,100,0
86,112,0.065,6893,8,0.07,21
86,112,0.065,7196,4,100,10
