n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
55 44 8482.0 3.0 -1.0
58 44 10051.0 24.0 -1.0
57 44 9226.1 14.0 -1.0
52 44 7348.0 5.0 -1.0
51 44 -3674.0 11.0 5914.8
54 44 8289.0 8.0 -1.0
53 44 -1738.0 3.0 244512.0
49 44 -4627.0 4.0 59.7
49 44 -4627.0 4.0 59.7
49 44 -4627.0 4.0 59.7
49 44 -4627.0 4.0 59.7
48 44 -4040.0 5.0 219.0
45 44 -3280.0 3.0 1.5
45 44 -3280.0 3.0 1.5
44 44 -2600.0 4.0 1.2
44 44 -2600.0 4.0 1.2
47 44 -3780.0 4.0 8.0
47 44 -3780.0 4.0 8.0
47 44 -3780.0 4.0 8.0
47 44 -3780.0 4.0 8.0
46 44 -3198.0 5.0 11.7
41 44 -1600.0 7.0 -1
41 44 -1600.0 7.0 -1
41 44 -1600.0 7.0 -1
43 44 -1800.0 6.0 -1
42 44 -1800.0 6.0 -1
42 44 -1800.0 6.0 -1
82 45 0.0 0.0 0.02
82 45 0.0 0.0 0.02
82 45 0.0 0.0 0.02
81 45 -13300.0 6.0 0.019
81 45 -13300.0 6.0 0.019
81 45 -13300.0 6.0 0.019
83 45 0.0 0.0 -1
80 45 -12700.0 7.0 0.0265
80 45 -12700.0 7.0 0.0265
80 45 -12700.0 7.0 0.0265
71 45 -7900.0 7.0 0.68
71 45 -7900.0 7.0 0.68
70 45 -7629.0 13.0 0.99
73 45 -8700.0 4.0 0.266
73 45 -8700.0 4.0 0.266
72 45 -8510.0 10.0 0.44
79 45 -12100.0 6.0 0.03
79 45 -12100.0 6.0 0.03
79 45 -12100.0 6.0 0.03
78 45 -11400.0 6.0 0.042
78 45 -11400.0 6.0 0.042
78 45 -11400.0 6.0 0.042
75 45 -9800.0 4.0 0.136
75 45 -9800.0 4.0 0.136
75 45 -9800.0 4.0 0.136
74 45 -9450.0 20.0 0.171
74 45 -9450.0 20.0 0.171
77 45 -11000.0 5.0 -1
77 45 -11000.0 5.0 -1
77 45 -11000.0 5.0 -1
77 45 -11000.0 5.0 -1
76 45 -10500.0 7.0 0.151
76 45 -10500.0 7.0 0.151
60 45 -3932.0 24.0 127296.0
60 45 -3932.0 24.0 127296.0
62 45 -4685.0 16.0 1302.0
61 45 -4215.0 10.0 30.07
61 45 -4215.0 10.0 30.07
68 45 -6909.0 12.0 2.8
67 45 -6230.0 4.0 3.6
67 45 -6230.0 4.0 3.6
69 45 -7100.0 7.0 1.85
69 45 -7100.0 7.0 1.85
64 45 -5140.0 4.0 80.0
63 45 -4960.0 3.0 16.8
63 45 -4960.0 3.0 16.8
63 45 -4960.0 3.0 16.8
66 45 -5979.0 11.0 11.0
65 45 -5477.0 22.0 28.5
65 45 -5477.0 22.0 28.5
51 45 -3187.0 10.0 594.0
51 45 -3187.0 10.0 594.0
51 45 -3187.0 10.0 594.0
50 45 -4779.0 5.0 301.2
50 45 -4779.0 5.0 301.2
50 45 -4779.0 5.0 301.2
57 45 -2776.0 7.0 17910720.0
57 45 -2776.0 7.0 17910720.0
57 45 -2776.0 7.0 17910720.0
57 45 -2776.0 7.0 17910720.0
56 45 -2613.0 7.0 104140080.0
56 45 -2613.0 7.0 104140080.0
56 45 -2613.0 7.0 104140080.0
59 45 -3363.0 3.0 42.3
59 45 -3363.0 3.0 42.3
59 45 -3363.0 3.0 42.3
59 45 -3363.0 3.0 42.3
58 45 6214.2 23.0 -1.0
58 45 -3128.8 25.0 -1.0
53 45 -1442.0 13.0 523.2
53 45 -1442.0 13.0 523.2
53 45 -1442.0 13.0 523.2
52 45 -1420.0 4.0 1842.0
52 45 -1420.0 4.0 1842.0
52 45 -1420.0 4.0 1842.0
55 45 -2194.0 19.0 74880.0
55 45 -2194.0 19.0 74880.0
55 45 -2194.0 19.0 74880.0
54 45 -1988.0 20.0 1391040.0000000002
54 45 -1988.0 20.0 1391040.0000000002
54 45 -1988.0 20.0 1391040.0000000002
49 45 -4608.0 4.0 66.0
49 45 -4608.0 4.0 66.0
49 45 -4608.0 4.0 66.0
46 45 -3300.0 3.0 1.47
46 45 -3300.0 3.0 1.47
46 45 -3300.0 3.0 1.47
46 45 -3300.0 3.0 1.47
45 45 -2500.0 4.0 0.012
45 45 -2500.0 4.0 0.012
48 45 -4042.0 5.0 12.2
47 45 -3754.0 6.0 5.7
47 45 -3754.0 6.0 5.7
47 45 -3754.0 6.0 5.7
44 45 -2200.0 5.0 -1
44 45 -2200.0 5.0 -1
43 45 -1600.0 6.0 -1
83 46 17800.0 7.0 -1
82 46 -13200.0 8.0 0.035
82 46 -13200.0 8.0 0.035
82 46 -13200.0 8.0 0.035
85 46 0.0 0.0 -1
84 46 0.0 0.0 -1
81 46 -13100.0 7.0 0.038
81 46 -13100.0 7.0 0.038
80 46 -12400.0 6.0 0.048600000000000004
80 46 -12400.0 6.0 0.048600000000000004
80 46 -12400.0 6.0 0.048600000000000004
80 46 -12400.0 6.0 0.048600000000000004
80 46 -12400.0 6.0 0.048600000000000004
80 46 -12400.0 6.0 0.048600000000000004
72 46 -7592.0 4.0 1.9
71 46 -6980.0 4.0 4.3
74 46 -8636.0 4.0 0.492
74 46 -8636.0 4.0 0.492
73 46 -7730.0 3.0 0.92
70 46 -6625.0 12.0 11.8
79 46 -11800.0 6.0 0.057
79 46 -11800.0 6.0 0.057
76 46 -10040.0 20.0 0.17500000000000002
76 46 -10040.0 20.0 0.17500000000000002
75 46 -9100.0 4.0 0.28500000000000003
75 46 -9100.0 4.0 0.28500000000000003
78 46 -11100.0 5.0 0.038
78 46 -11100.0 5.0 0.038
77 46 -10800.0 8.0 0.108
77 46 -10800.0 8.0 0.108
61 46 -3530.4 13.0 205124400000000.0
61 46 -3530.4 13.0 205124400000000.0
60 46 9345.2 24.0 -1.0
63 46 -4097.0 3.0 49324.32
63 46 -4097.0 3.0 49324.32
62 46 9949.0 12.0 -1.0
69 46 -6065.0 17.0 25.0
69 46 -6065.0 17.0 25.0
69 46 -6065.0 17.0 25.0
68 46 -5843.0 11.0 145.2
65 46 -4548.0 9.0 1404.0
65 46 -4548.0 9.0 1404.0
65 46 -4548.0 9.0 1404.0
64 46 10621.0 4.0 -1.0
67 46 -5277.0 11.0 93.0
67 46 -5277.0 11.0 93.0
66 46 -5085.0 11.0 75744.0
50 46 -4307.0 5.0 122.0
52 46 -1162.0 6.0 1062.0
51 46 -3014.0 5.0 186.0
58 46 8652.0 3.0 -1.0
57 46 -2256.5 8.0 1468022.4
59 46 8748.0 3.0 -1.0
54 46 -1557.0 18.0 313632.0
53 46 -1150.0 11.0 1284.0
56 46 7780.0 6.0 -1.0
55 46 -1736.0 5.0 30492.000000000004
47 46 -3000.0 4.0 1.0
47 46 -3000.0 4.0 1.0
46 46 -2900.0 5.0 0.7
49 46 -4151.0 4.0 5.0
49 46 -4151.0 4.0 5.0
49 46 -4151.0 4.0 5.0
49 46 -4151.0 4.0 5.0
48 46 -3643.0 6.0 9.6
45 46 -2900.0 6.0 -1
44 46 1300.0 5.0 -1
85 47 -9500.0 6.0 0.028
85 47 -9500.0 6.0 0.028
85 47 -9500.0 6.0 0.028
86 47 0.0 0.0 -1
83 47 -11100.0 7.0 0.042
83 47 -11100.0 7.0 0.042
83 47 -11100.0 7.0 0.042
84 47 -9400.0 8.0 0.035
84 47 -9400.0 8.0 0.035
84 47 -9400.0 8.0 0.035
81 47 -12400.0 5.0 0.058
81 47 -12400.0 5.0 0.058
82 47 -12500.0 6.0 0.046
82 47 -12500.0 6.0 0.046
82 47 -12500.0 6.0 0.046
82 47 -12500.0 6.0 0.046
80 47 -11900.0 4.0 0.109
74 47 -7931.0 15.0 0.78
74 47 -7931.0 15.0 0.78
75 47 -8640.0 5.0 0.529
75 47 -8640.0 5.0 0.529
75 47 -8640.0 5.0 0.529
75 47 -8640.0 5.0 0.529
75 47 -8640.0 5.0 0.529
75 47 -8640.0 5.0 0.529
75 47 -8640.0 5.0 0.529
72 47 -6841.0 16.0 6.0
72 47 -6841.0 16.0 6.0
73 47 -7340.0 7.0 1.23
73 47 -7340.0 7.0 1.23
73 47 -7340.0 7.0 1.23
73 47 -7340.0 7.0 1.23
70 47 -5840.0 15.0 72.8
70 47 -5840.0 15.0 72.8
70 47 -5840.0 15.0 72.8
71 47 -6270.0 7.0 3.76
71 47 -6270.0 7.0 3.76
71 47 -6270.0 7.0 3.76
78 47 -10700.0 8.0 0.159
78 47 -10700.0 8.0 0.159
78 47 -10700.0 8.0 0.159
78 47 -10700.0 8.0 0.159
79 47 -11300.0 4.0 0.052000000000000005
79 47 -11300.0 4.0 0.052000000000000005
79 47 -11300.0 4.0 0.052000000000000005
76 47 -9170.0 3.0 0.3
76 47 -9170.0 3.0 0.3
77 47 -10000.0 3.0 0.191
77 47 -10000.0 3.0 0.191
77 47 -10000.0 3.0 0.191
77 47 -10000.0 3.0 0.191
77 47 -10000.0 3.0 0.191
77 47 -10000.0 3.0 0.191
63 47 -3520.0 6.0 24.6
63 47 -3520.0 6.0 24.6
63 47 -3520.0 6.0 24.6
63 47 -3520.0 6.0 24.6
64 47 -3777.0 12.0 643680.0
64 47 -3777.0 12.0 643680.0
64 47 -3777.0 12.0 643680.0
61 47 -3072.0 3.0 142.92000000000002
61 47 -3072.0 3.0 142.92000000000002
61 47 -3072.0 3.0 142.92000000000002
61 47 -3072.0 3.0 142.92000000000002
62 47 6484.2 14.0 -1.0
62 47 -3293.0 3.0 -1.0
60 47 5788.1 23.0 -1.0
60 47 -2800.0 3.0 -1.0
69 47 -5240.0 4.0 237.0
69 47 -5240.0 4.0 237.0
69 47 -5240.0 4.0 237.0
69 47 -5240.0 4.0 237.0
69 47 -5240.0 4.0 237.0
67 47 -4527.0 18.0 4.6
68 47 -5104.0 20.0 1200.0
68 47 -5104.0 20.0 1200.0
68 47 -5104.0 20.0 1200.0
65 47 -3977.0 14.0 11268.0
66 47 -4452.0 17.0 19332.0
66 47 -4452.0 17.0 19332.0
66 47 -4452.0 17.0 19332.0
52 47 -797.0 7.0 124.0
52 47 -797.0 7.0 124.0
53 47 -875.0 11.0 120.6
53 47 -875.0 11.0 120.6
53 47 -875.0 11.0 120.6
50 47 -4317.0 12.0 25.5
51 47 -2580.0 3.0 47.5
51 47 -2580.0 3.0 47.5
58 47 -2083.0 7.0 3567456.0
58 47 -2083.0 7.0 3567456.0
58 47 -2083.0 7.0 3567456.0
59 47 -2584.0 7.0 1437.6000000000001
59 47 -2584.0 7.0 1437.6000000000001
59 47 -2584.0 7.0 1437.6000000000001
56 47 -1643.0 20.0 3942.0
56 47 -1643.0 20.0 3942.0
57 47 -1950.0 19.0 4152.0
57 47 -1950.0 19.0 4152.0
57 47 -1950.0 19.0 4152.0
54 47 -1160.0 4.0 666.0
54 47 -1160.0 4.0 666.0
55 47 -1496.0 14.0 774.0
55 47 -1496.0 14.0 774.0
55 47 -1496.0 14.0 774.0
49 47 -3940.0 9.0 4.4
49 47 -3940.0 9.0 4.4
49 47 -3940.0 9.0 4.4
49 47 -3940.0 9.0 4.4
47 47 -3200.0 4.0 0.026000000000000002
47 47 -3200.0 4.0 0.026000000000000002
47 47 -3200.0 4.0 0.026000000000000002
47 47 -3200.0 4.0 0.026000000000000002
47 47 -3200.0 4.0 0.026000000000000002
47 47 -3200.0 4.0 0.026000000000000002
47 47 -3200.0 4.0 0.026000000000000002
47 47 -3200.0 4.0 0.026000000000000002
48 47 -3800.0 5.0 1.75
48 47 -3800.0 5.0 1.75
48 47 -3800.0 5.0 1.75
45 47 -1400.0 6.0 -1
46 47 -3200.0 5.0 -1
46 47 -3200.0 5.0 -1
46 47 -3200.0 5.0 -1
64 48 9648.4 14.0 -1.0
65 48 -3861.7 11.0 2.524608e+23
65 48 -3861.7 11.0 2.524608e+23
65 48 -3861.7 11.0 2.524608e+23
62 48 8917.5 13.0 -1.0
63 48 9083.9 13.0 -1.0
63 48 -3304.5 13.0 -1.0
60 48 -2282.2 17.0 -1
61 48 -2511.3 19.0 39864960.0
68 48 -4816.0 7.0 1.0414008e+27
69 48 -5253.0 7.0 8964.0
69 48 -5253.0 7.0 8964.0
66 48 -4108.9 6.0 -1
67 48 -4523.5 10.0 192456.0
67 48 -4523.5 10.0 192456.0
53 48 -456.0 5.0 81.60000000000001
54 48 -764.0 5.0 330.0
51 48 -2390.0 3.0 16.0
51 48 -2390.0 3.0 16.0
51 48 -2390.0 3.0 16.0
52 48 -436.0 5.0 49.1
50 48 -3960.0 5.0 9.2
50 48 -3960.0 5.0 9.2
59 48 -1958.3 19.0 23400.0
57 48 -1327.0 5.0 3330.0
58 48 -1654.1 12.0 -1
55 48 -894.0 5.0 438.0
56 48 -1181.0 18.0 3462.0
48 48 -3200.0 5.0 1.03
49 48 -4200.0 6.0 1.1
49 48 -4200.0 6.0 1.1
49 48 -4200.0 6.0 1.1
49 48 -4200.0 6.0 1.1
46 48 1300.0 6.0 -1
47 48 -3300.0 7.0 -1
47 48 -3300.0 7.0 -1
86 48 -9200.0 4.0 0.065
86 48 -9200.0 4.0 0.065
86 48 -9200.0 4.0 0.065
87 48 0.0 0.0 -1
84 48 -8500.0 5.0 0.097
84 48 -8500.0 5.0 0.097
85 48 -8700.0 6.0 0.057
85 48 -8700.0 6.0 0.057
85 48 -8700.0 6.0 0.057
82 48 -11800.0 4.0 0.162
82 48 -11800.0 4.0 0.162
83 48 -10400.0 5.0 0.068
83 48 -10400.0 5.0 0.068
80 48 -11300.0 3.0 0.28
81 48 -11600.0 4.0 0.154
81 48 -11600.0 4.0 0.154
81 48 -11600.0 4.0 0.154
81 48 -11600.0 4.0 0.154
81 48 -11600.0 4.0 0.154
75 48 -8432.0 9.0 2.1
75 48 -8432.0 9.0 2.1
75 48 -8432.0 9.0 2.1
76 48 -8845.0 3.0 1.25
73 48 -7075.0 8.0 13.5
73 48 -7075.0 8.0 13.5
74 48 -7649.0 3.0 5.24
71 48 -5980.0 4.0 161.4
71 48 -5980.0 4.0 161.4
72 48 -6551.0 8.0 50.8
70 48 -5636.0 21.0 3018.0
79 48 -10700.0 8.0 0.37
77 48 -9591.0 4.0 0.68
77 48 -9591.0 4.0 0.68
78 48 -10064.0 20.0 0.515
88 49 -9200.0 6.0 0.065
88 49 -9200.0 6.0 0.065
88 49 -9200.0 6.0 0.065
87 49 -9000.0 6.0 0.085
87 49 -9000.0 6.0 0.085
87 49 -9000.0 6.0 0.085
86 49 -8800.0 6.0 0.092
86 49 -8800.0 6.0 0.092
85 49 -8500.0 5.0 0.14
85 49 -8500.0 5.0 0.14
84 49 -8200.0 4.0 0.165
84 49 -8200.0 4.0 0.165
84 49 -8200.0 4.0 0.165
84 49 -8200.0 4.0 0.165
84 49 -8200.0 4.0 0.165
83 49 -10100.0 3.0 0.207
83 49 -10100.0 3.0 0.207
82 49 -11800.0 20.0 0.28
82 49 -11800.0 20.0 0.28
82 49 -11800.0 20.0 0.28
82 49 -11800.0 20.0 0.28
82 49 -11800.0 20.0 0.28
82 49 -11800.0 20.0 0.28
82 49 -11800.0 20.0 0.28
82 49 -11800.0 20.0 0.28
81 49 -11610.0 20.0 0.29
81 49 -11610.0 20.0 0.29
81 49 -11610.0 20.0 0.29
81 49 -11610.0 20.0 0.29
81 49 -11610.0 20.0 0.29
81 49 -11610.0 20.0 0.29
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
80 49 -10700.0 4.0 0.611
77 49 -9130.0 4.0 1.53
77 49 -9130.0 4.0 1.53
76 49 -8434.0 12.0 2.36
76 49 -8434.0 12.0 2.36
75 49 -7640.0 3.0 3.12
75 49 -7640.0 3.0 3.12
74 49 -7208.0 25.0 6.17
74 49 -7208.0 25.0 6.17
73 49 -6440.0 5.0 1.5
73 49 -6440.0 5.0 1.5
73 49 -6440.0 5.0 1.5
72 49 -6080.0 3.0 23.1
72 49 -6080.0 3.0 23.1
72 49 -6080.0 3.0 23.1
71 49 -5610.0 4.0 3.08
71 49 -5610.0 4.0 3.08
71 49 -5610.0 4.0 3.08
70 49 -5141.0 20.0 144.0
70 49 -5141.0 20.0 144.0
70 49 -5141.0 20.0 144.0
79 49 -10400.0 3.0 0.84
79 49 -10400.0 3.0 0.84
79 49 -10400.0 3.0 0.84
79 49 -10400.0 3.0 0.84
78 49 -9740.0 3.0 1.09
78 49 -9740.0 3.0 1.09
78 49 -9740.0 3.0 1.09
78 49 -9740.0 3.0 1.09
78 49 -9740.0 3.0 1.09
66 49 -3745.8 15.0 1.39169016e+22
66 49 -3745.8 15.0 1.39169016e+22
66 49 -3745.8 15.0 1.39169016e+22
65 49 -3537.4 13.0 71.9
65 49 -3537.4 13.0 71.9
65 49 -3537.4 13.0 71.9
65 49 -3537.4 13.0 71.9
64 49 6081.24 24.0 -1.0
64 49 -3072.6 13.0 -1.0
63 49 -2808.0 5.0 892.8000000000001
63 49 -2808.0 5.0 892.8000000000001
63 49 -2808.0 5.0 892.8000000000001
62 49 -2410.0 4.0 242326.08
62 49 -2410.0 4.0 242326.08
61 49 -1952.0 12.0 17640.0
61 49 -1952.0 12.0 17640.0
60 49 -1844.0 6.0 15001.199999999999
60 49 -1844.0 6.0 15001.199999999999
60 49 -1844.0 6.0 15001.199999999999
69 49 -4722.0 9.0 5.0
69 49 -4722.0 9.0 5.0
69 49 -4722.0 9.0 5.0
69 49 -4722.0 9.0 5.0
68 49 -4341.0 17.0 2592.0
68 49 -4341.0 17.0 2592.0
68 49 -4341.0 17.0 2592.0
67 49 -4090.9 24.0 14.1
67 49 -4090.9 24.0 14.1
67 49 -4090.9 24.0 14.1
67 49 -4090.9 24.0 14.1
55 49 -470.0 8.0 108.0
55 49 -470.0 8.0 108.0
55 49 -470.0 8.0 108.0
54 49 -345.0 11.0 65.0
54 49 -345.0 11.0 65.0
54 49 -345.0 11.0 65.0
53 49 -50.0 3.0 23.3
53 49 -50.0 3.0 23.3
52 49 -66.0 17.0 15.1
52 49 -66.0 17.0 15.1
51 49 -2090.0 9.0 5.8
51 49 -2090.0 9.0 5.8
50 49 -3900.0 5.0 3.0
59 49 -1428.0 10.0 3480.0
59 49 -1428.0 10.0 3480.0
58 49 -1189.0 10.0 1944.0
58 49 -1189.0 10.0 1944.0
57 49 -786.0 15.0 372.0
57 49 -786.0 15.0 372.0
56 49 -731.0 11.0 304.20000000000005
56 49 -731.0 11.0 304.20000000000005
49 49 -3900.0 5.0 0.032
49 49 -3900.0 5.0 0.032
48 49 -3400.0 6.0 -1
48 49 -3400.0 6.0 -1
47 49 -1700.0 8.0 -1
49 50 -3300.0 8.0 -1
49 50 -3300.0 8.0 -1
51 50 -2000.0 5.0 1.7
51 50 -2000.0 5.0 1.7
50 50 -4000.0 5.0 1.16
50 50 -4000.0 5.0 1.16
53 50 410.0 10.0 7.0
53 50 410.0 10.0 7.0
52 50 280.0 11.0 3.8
55 50 74.0 4.0 32.7
55 50 74.0 4.0 32.7
54 50 143.0 6.0 20.8
57 50 -286.0 6.0 174.0
56 50 -119.0 5.0 115.0
59 50 -721.0 8.0 1080.0
58 50 -526.0 6.0 618.0
60 50 -1135.0 14.0 14796.000000000002
62 50 -1827.5 12.0 -1
61 50 -1373.0 6.0 2118.0
64 50 8481.58 19.0 -1.0
63 50 -2248.7 22.0 9943776.0
63 50 -2248.7 22.0 9943776.0
63 50 -2248.7 22.0 9943776.0
66 50 9278.59 10.0 -1.0
65 50 8753.0 3.0 -1.0
68 50 9999.0 5.0 -1.0
67 50 9437.0 5.0 -1.0
67 50 -3779.4 5.0 -1.0
69 50 10126.0 8.0 -1.0
69 50 -4405.4 10.0 -1.0
71 50 -5203.1 14.0 97308.0
71 50 -5203.1 14.0 97308.0
71 50 -5203.1 14.0 97308.0
70 50 10688.0 7.0 -1.0
73 50 -6260.0 4.0 11162879.999999998
73 50 -6260.0 4.0 11162879.999999998
72 50 11390.0 3.0 -1.0
75 50 -7244.7 24.0 832896.0
75 50 -7244.7 24.0 832896.0
74 50 -6699.0 4.0 -1
77 50 -8480.0 10.0 7560.0
77 50 -8480.0 10.0 7560.0
76 50 -7828.0 11.0 7258248000000.0
79 50 -9667.0 18.0 133.8
79 50 -9667.0 18.0 133.8
79 50 -9667.0 18.0 133.8
78 50 -9087.0 18.0 3544.2
78 50 -9087.0 18.0 3544.2
80 50 -10301.0 3.0 223.20000000000002
80 50 -10301.0 3.0 223.20000000000002
82 50 -11733.0 7.0 39.7
81 50 -10948.0 7.0 56.0
81 50 -10948.0 7.0 56.0
81 50 -10948.0 7.0 56.0
84 50 -7741.0 23.0 1.05
84 50 -7741.0 23.0 1.05
83 50 -10177.0 6.0 1.46
83 50 -10177.0 6.0 1.46
86 50 -8130.0 21.0 0.29
86 50 -8130.0 21.0 0.29
86 50 -8130.0 21.0 0.29
86 50 -8130.0 21.0 0.29
85 50 -7845.0 19.0 0.53
85 50 -7845.0 19.0 0.53
88 50 -8500.0 5.0 0.14
88 50 -8500.0 5.0 0.14
88 50 -8500.0 5.0 0.14
88 50 -8500.0 5.0 0.14
87 50 -8400.0 4.0 0.19
87 50 -8400.0 4.0 0.19
89 50 -8900.0 6.0 0.13
89 50 -8900.0 6.0 0.13
89 50 -8900.0 6.0 0.13
90 50 0.0 0.0 -1
52 51 2300.0 4.0 -1
51 51 -1900.0 5.0 -1
54 51 2104.0 25.0 1.22
54 51 2104.0 25.0 1.22
53 51 2460.0 10.0 0.44
53 51 2460.0 10.0 0.44
53 51 2460.0 10.0 0.44
56 51 1554.0 10.0 4.0
55 51 1797.0 9.0 0.6
58 51 965.0 12.0 17.0
57 51 1312.0 8.0 7.4
59 51 733.0 14.0 23.0
61 51 96.0 20.0 53.5
61 51 96.0 20.0 53.5
60 51 305.0 13.0 75.0
63 51 -452.0 23.0 209.4
62 51 -352.0 18.0 400.2
65 51 -1257.0 7.0 948.0
65 51 -1257.0 7.0 948.0
64 51 -1036.0 16.0 1926.0
67 51 -1851.0 3.0 216.0
67 51 -1851.0 3.0 216.0
66 51 -1697.0 8.0 10080.0
69 51 -2592.0 7.0 953.4000000000001
69 51 -2592.0 7.0 953.4000000000001
68 51 -2364.0 7.0 137484.0
68 51 -2364.0 7.0 137484.0
70 51 5790.0 3.0 -1.0
72 51 6571.9 24.0 -1.0
71 51 -3531.0 8.0 235336.32
71 51 -3531.0 8.0 235336.32
71 51 -3531.0 8.0 235336.32
74 51 -4850.0 3.0 87053533.05600001
73 51 -4320.0 4.0 5201280.0
73 51 -4320.0 4.0 5201280.0
73 51 -4320.0 4.0 5201280.0
73 51 -4320.0 4.0 5201280.0
76 51 -5694.0 20.0 332640.0
75 51 -5250.0 6.0 1067040.0
75 51 -5250.0 6.0 1067040.0
75 51 -5250.0 6.0 1067040.0
75 51 -5250.0 6.0 1067040.0
78 51 -6642.0 21.0 15717.599999999999
78 51 -6642.0 21.0 15717.599999999999
78 51 -6642.0 21.0 15717.599999999999
78 51 -6642.0 21.0 15717.599999999999
78 51 -6642.0 21.0 15717.599999999999
77 51 -6190.0 4.0 32580.000000000004
77 51 -6190.0 4.0 32580.000000000004
77 51 -6190.0 4.0 32580.000000000004
79 51 -6901.0 15.0 2370.0
79 51 -6901.0 15.0 2370.0
81 51 -7870.0 3.0 167.4
81 51 -7870.0 3.0 167.4
80 51 -7526.0 10.0 1381.8000000000002
83 51 -6537.0 4.0 0.78
83 51 -6537.0 4.0 0.78
83 51 -6537.0 4.0 0.78
82 51 -8514.0 4.0 140.39999999999998
85 51 -4520.0 6.0 0.923
85 51 -4520.0 6.0 0.923
84 51 -4091.0 3.0 1.679
84 51 -4091.0 3.0 1.679
87 51 -5100.0 4.0 0.34800000000000003
87 51 -5100.0 4.0 0.34800000000000003
87 51 -5100.0 4.0 0.34800000000000003
86 51 -4790.0 21.0 0.492
86 51 -4790.0 21.0 0.492
89 51 -5800.0 7.0 -1
89 51 -5800.0 7.0 -1
89 51 -5800.0 7.0 -1
89 51 -5800.0 7.0 -1
88 51 -5400.0 5.0 0.093
88 51 -5400.0 5.0 0.093
90 51 12300.0 6.0 -1
91 51 0.0 0.0 -1
54 52 4290.0 9.0 7e-05
55 52 4010.0 5.0 0.0031000000000000003
55 52 4010.0 5.0 0.0031000000000000003
52 52 0.0 nan -1
53 52 5069.0 3.0 6.2e-07
58 52 2699.0 8.0 18.6
58 52 2699.0 8.0 18.6
59 52 2500.0 8.0 19.3
59 52 2500.0 8.0 19.3
56 52 3420.0 8.0 2.1
56 52 3420.0 8.0 2.1
56 52 3420.0 8.0 2.1
57 52 3198.0 6.0 4.6
57 52 3198.0 6.0 4.6
57 52 3198.0 6.0 4.6
57 52 3198.0 6.0 4.6
61 52 1860.0 3.0 102.0
62 52 1530.0 3.0 912.0
60 52 2078.0 10.0 120.0
65 52 808.0 14.0 3720.0
65 52 808.0 14.0 3720.0
66 52 444.0 18.0 518400.0
63 52 1450.0 3.0 348.0
63 52 1450.0 3.0 348.0
63 52 1450.0 3.0 348.0
64 52 966.0 24.0 8964.0
69 52 -570.0 3.0 1656288.0000000002
69 52 -570.0 3.0 1656288.0000000002
69 52 -570.0 3.0 1656288.0000000002
67 52 426.0 7.0 57780.0
67 52 426.0 7.0 57780.0
67 52 426.0 7.0 57780.0
68 52 7176.0 7.0 -1.0
72 52 8590.22 12.0 -1.0
73 52 8691.7 14.0 -1.0
73 52 -2250.1 14.0 -1.0
70 52 8003.1 21.0 -1.0
71 52 -1530.9 15.0 -1
71 52 -1530.9 15.0 -1
76 52 -3187.2 15.0 7.6053816000000005e+31
77 52 -3536.1 15.0 4194.0
77 52 -3536.1 15.0 4194.0
77 52 -3536.1 15.0 4194.0
74 52 9098.0 21.0 -1.0
75 52 -2890.7 24.0 33660.0
75 52 -2890.7 24.0 33660.0
75 52 -2890.7 24.0 33660.0
78 52 -3763.0 11.0 9.46728e+31
79 52 -4166.0 9.0 1500.0
79 52 -4166.0 9.0 1500.0
79 52 -4166.0 9.0 1500.0
79 52 -4166.0 9.0 1500.0
80 52 -4252.0 18.0 276825.60000000003
83 52 -2889.0 4.0 19.0
84 52 -304.0 3.0 17.63
84 52 -304.0 3.0 17.63
81 52 -4771.0 17.0 750.0
81 52 -4771.0 17.0 750.0
81 52 -4771.0 17.0 750.0
82 52 -4826.0 3.0 2508.0
87 52 -1998.0 5.0 -1
87 52 -1998.0 5.0 -1
88 52 -2620.0 20.0 -1
88 52 -2620.0 20.0 -1
85 52 -855.0 3.0 2.49
85 52 -855.0 3.0 2.49
86 52 -1687.0 5.0 1.4
86 52 -1687.0 5.0 1.4
89 52 -2900.0 5.0 -1
89 52 -2900.0 5.0 -1
90 52 -3500.0 6.0 -1
91 52 -3600.0 6.0 -1
91 52 -3600.0 6.0 -1
91 52 -3600.0 6.0 -1
92 52 0.0 0.0 -1
93 52 0.0 0.0 -1
55 53 4099.0 5.0 0.036000000000000004
55 53 4099.0 5.0 0.036000000000000004
55 53 4099.0 5.0 0.036000000000000004
56 53 3918.0 21.0 9.35e-05
56 53 3918.0 21.0 9.35e-05
53 53 -2200.0 5.0 -1
54 53 -1500.0 3.0 -1
59 53 2957.0 12.0 3.34
59 53 2957.0 12.0 3.34
59 53 2957.0 12.0 3.34
59 53 2957.0 12.0 3.34
57 53 3580.0 6.0 0.65
57 53 3580.0 6.0 0.65
57 53 3580.0 6.0 0.65
57 53 3580.0 6.0 0.65
58 53 3275.0 5.0 2.5
58 53 3275.0 5.0 2.5
62 53 2070.0 3.0 78.0
63 53 1750.0 8.0 2.91
60 53 2707.0 10.0 6.6
