n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
14 12 14145.7 12.0 -1.0
17 12 -11000.0 3.0 1.3
16 12 -11493.2 6.0 75294.0
19 12 -12600.0 9.0 0.23600000000000002
19 12 -12600.0 9.0 0.23600000000000002
18 12 -11787.0 18.0 0.317
18 12 -11787.0 18.0 0.317
20 12 -14550.0 13.0 0.08600000000000001
20 12 -14550.0 13.0 0.08600000000000001
22 12 -17400.0 3.0 0.02
22 12 -17400.0 3.0 0.02
22 12 -17400.0 3.0 0.02
21 12 -15860.0 15.0 0.08940000000000001
21 12 -15860.0 15.0 0.08940000000000001
21 12 -15860.0 15.0 0.08940000000000001
24 12 -19000.0 9.0 0.0058
24 12 -19000.0 9.0 0.0058
24 12 -19000.0 9.0 0.0058
24 12 -19000.0 9.0 0.0058
23 12 -18000.0 4.0 0.011300000000000001
23 12 -18000.0 4.0 0.011300000000000001
23 12 -18000.0 4.0 0.011300000000000001
23 12 -18000.0 4.0 0.011300000000000001
26 12 -21200.0 7.0 -1
26 12 -21200.0 7.0 -1
26 12 -21200.0 7.0 -1
26 12 -21200.0 7.0 -1
25 12 -20300.0 9.0 0.008
25 12 -20300.0 9.0 0.008
25 12 -20300.0 9.0 0.008
25 12 -20300.0 9.0 0.008
28 12 0.0 0.0 -1
28 12 0.0 0.0 -1
28 12 0.0 0.0 -1
28 12 0.0 0.0 -1
9 12 -8021.5 8.0 0.122
9 12 -8021.5 8.0 0.122
9 12 -8021.5 8.0 0.122
27 12 0.0 0.0 -1
8 12 -8934.0 21.0 0.0908
8 12 -8934.0 21.0 0.0908
7 12 -10800.0 9.0 4e-12
29 12 0.0 0.0 -1
9 13 -9300.0 4.0 0.0911
9 13 -9300.0 4.0 0.0911
9 13 -9300.0 4.0 0.0911
9 13 -9300.0 4.0 0.0911
8 13 -10100.0 6.0 -1
22 13 -14895.0 16.0 0.0376
22 13 -14895.0 16.0 0.0376
22 13 -14895.0 16.0 0.0376
23 13 -15110.0 15.0 0.094
23 13 -15110.0 15.0 0.094
23 13 -15110.0 15.0 0.094
23 13 -15110.0 15.0 0.094
20 13 -13602.0 10.0 0.0417
20 13 -13602.0 10.0 0.0417
21 13 -13897.0 5.0 0.056299999999999996
21 13 -13897.0 5.0 0.056299999999999996
21 13 -13897.0 5.0 0.056299999999999996
26 13 -18800.0 7.0 0.0076
26 13 -18800.0 7.0 0.0076
26 13 -18800.0 7.0 0.0076
